"Plant_id";"Ancistrocerus_sp";"Andrena_sp";"Anthidiellum_strigatum";"Anthophora_sp";"Anthrenus_sp";"Apis_mellifera";"Attagenus_sp";"Bombus_terrestris";"Bombylius_sp";"Ceratina_sp";"Chasmatopterus_sp";"Dasypoda_sp";"Diptera_sp1";"Diptera_sp10";"Diptera_sp3";"Diptera_sp7";"Diptera_sp8";"Episyrphus_sp";"Eucera_sp";"Halictidae_sp1";"Halictus_sp";"Heliotaurus_ruficollis";"Lasioglossum_sp2";"Lasioglossum_sp3";"Lasioglossum_sp4";"Lasioglossum_sp6";"Lobonyx_aeneus";"Lomatia_sp";"Mordellidae_sp";"Mylabris_sp";"Nustera_distigma";"Phthiria_sp";"Phthiria_sp1";"Plebejus_argus";"Rhyncomyia_cupraea";"Scaeva_sp";"Sphaerophoria_scripta";"Syrphidae_sp5";"Tiphia_morio";"Vespidae";"Vespula_sp";"Xylocopa_cantabrita"
"106";0;0;0;0;0;0.0595552939270343;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"113";0;0;0;0;0;0;0;0.0400222502766538;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"114";0;0;0;0;0;0;0;0;0;0;0;0.118705449800143;0;0;0;0;0;0;0;0;0;0;0.102857142857143;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"115";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.355603448275862;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"116";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.441408991798533;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"117";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0369697057640276;0;0;0;0;0;0;0
"120";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.461791852984128;0;0;0;0.0257940888700976;0;0;0;0;0;0;0;0.0257940888700976;0;0;0;0;0;0;0
"261";0;0;0;0;0;0;0;0.904143993302637;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.125575554625366;0;0;0;0;0;0;1.18421052631579
"262";0;0;0;0;0;0;0;0.30357564434976;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.48698884758364;0;0;0;0;0;0;1.98265179677819
"263";0;0;0;0.332719716123088;0;0;0;0;0.19672131147541;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.59016393442623;0;0;0;0;0;0;2.44359933360036
