"Plant_id";"Andrena_sp";"Anthophora_sp";"Apis_mellifera";"Bombylius_sp";"Cantharidae_sp";"Chalicodoma_sicula";"Chrysolina_americana";"Episyrphus_sp";"Eristalis_sp";"Eucera_sp";"Halictus_sp2";"Halictus_sp3";"Hymenoptera_sp1";"Lasioglossum_sp1";"Lasioglossum_sp2";"Lasioglossum_sp6";"Lobonyx_aeneus";"Malachius_sp";"Malthodes_sp";"Nomada_sp";"Paragus_tibialis";"Rhyncomyia_cupraea";"Syrphidae_sp1";"Syrphidae_sp2";"Syrphidae_sp3";"Xylocopa_cantabrita"
"121";0;0;0.0208830787924275;0;0;0;0;0;0.0511698527261264;0.120361083249749;0;0;0;0;6.66400679255263;0.300902708124373;0;0.066006600660066;0;0;0;0;0;0;0;0
"122";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.831212502307448;0;0.0228213294809861;0.0678653539157202;0;0;0;0;0;0;0;0
"123";0;0;0.0496093470918238;0;0;0;0;0;0;0;0;0;0;0;1.39865362003353;0;0;0.0358763258216376;0;0;0;0;0;0;0;0
"124";0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.85825894183401;0;0;0;0;0;0;0;0;0;0;0
"125";0;0;0;0;0;0;0;0;0.956301849831313;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.530043781493872;0
"126";0;0;0;0.146337277455595;0;0;0;0;0;0;0;0;0;0;0.688575899843505;0;0;0;0;0;0;0;0;0;0;0
"127";0;0;0;0.034324942791762;0;0;0;0;0;0;0;0;0;0;0.197394784431384;0;0.068649885583524;0;0;0;0;0;0;0;0;0
"128";0;0;0;0;0;0;0;0;0;0;0;0;0;0;4.91568817526463;0;0.0587371512481645;0;0;0;0;0;0;0;0;0
"129";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.412128870911838;0;0;0;0;0;0;0;0;0;0;0
"130";0;0.0608210846426761;0.156489116441048;0;0;0;0;0;0.0743993414240186;0;0;0;0;0;0.169023067528843;0;0;0;0;0;0;0;0;0;0;0
"131";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.104895104895105;0;0.0640476568321326;0;0;0;0;0;0;0.220062819995223;0.0640476568321326;0
"132";0;0;1.2801570428599;0;0;0;0;0;0.182002022244692;0;0;0;0.123203285420945;0;3.86591489038448;0.316622691292876;0.249025892291433;0.0656952712915687;0;0;0.0616016427104723;0;0;0;0;0
"133";0.312662845231892;0;0.498891352549889;0;0;0;0;0;0.358995137891241;0;0;0;0;0;5.07859206126279;0.125065138092757;0;0;0.0919665516397949;0;0;0;0;0;0;0.437727983324648
"134";0;0;0.0347423277359583;0;0;0;0;0.138969310943833;0;0;0;0;0;0;1.27232157417301;0;0;0;0;0;0;0;0;0;0;0
"135";0;0;0;0;0;0;0;0;0.0306591722023505;0;0;0;0;0;1.35876879953014;0;0;0;0;0;0;0;0;0;0;0
"16";0;0;2.81376272061718;0.00657287111842233;0;0;0.00207218657427248;0;0;0.00657287111842233;0.115440115440115;0;0;0.29107179117017;0;0;0;0;0;0;0;0;0;0;0;0
"17";0;0;0.484231820215181;0;0;0;0;0;0;0;0;0;0;1.44597924217053;0.896592946802152;0.0843881856540084;0;0;0;0;0;0.0518582541054451;0;0;0;0
"18";0;0;0;0;0;0;0;0;0;0;0;0;0;1.15247303604504;0.132743362831858;0;0;0;0;0;0;0;0;0;0;0
"19";0;0;1.08368452739314;0;0;0;0;0;0;0;0;0;0;0.357842525335951;0;0;0;0;0;0;0;0;0;0;0;0
"20";0;0;0.550641601545946;0;0;0.0351906158357771;0;0;0;0.0881057268722467;0;0;0;5.31789560295954;0.563049853372434;0;0;0;0;0;0;0;0;0;0;0.0351906158357771
"21";0;0;0.0336889387984278;0.168444693992139;0;0;0;0;0;0;0;0;0;0.321741426004269;0;0;0;0;0;0;0;0;0;0;0;0
"22";0;0;0.761640462471224;0.587768384339636;0;0;0;0;0;0;0;0;0;1.99008387328739;0;0;0;0;0;0;0;0;0;0;0;0
"226";0;0;0;0;0;0;0;0;0;0;0;0;0;0.434580243310295;0;0;0;0;0;0;0;0;0;0;0;0
"227";0;0;0;0;0;0;0;0;0;0;0;0;0;0.0914634146341463;0;0;0;0;0;0;0;0;0;0;0;0
"229";0;0;0;0;0.0290818138763912;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"23";0;0;1.33538892549722;0;0;0;0;0;0.501672240802676;0;0;0;0;0.083333780899222;0;0;0;0;0;0;0;0;0;0.0471845140251798;0;0
"230";0;0;0;0;0;0;0;0;0;0;0;0;0;0.639126408493761;0;0;0;0;0;0;0;0;0;0;0;0
"233";0;0;0;0;0;0;0;0;0;0;0;0;0;0.461362135596399;0;0;0;0;0;0;0;0;0;0;0;0
"234";0;0;0;0;0;0;0;0;0;0;0;0;0;0.163576881134133;0.016595162489021;0;0;0;0;0;0;0;0;0;0;0
"24";0;0;0;0;0;0;0;0;0;0.24704065877509;0;0;0;1.98220012171081;0;0;0;0;0;0;0;0;0;0;0;0
"25";0;0;0.609629690987528;0.056550424128181;0;0;0;0;0;0;0;0;0;0.242752705260099;0;0;0;0;0;0;0;0;0;0;0;0
"26";0;0;1.69189022387229;0;0;0;0;0;0;0;0;0;0;1.22706386932869;0.0637958532695375;0;0;0;0;0;0;0;0;0;0;0
