"Plant_id";"Amegilla_sp";"Andrena_sp";"Anthidiellum_strigatum";"Anthophora_bimaculata";"Anthrenus_sp";"Apis_mellifera";"Attagenus_sp";"Bombus_terrestris";"Bombylius_sp";"Chasmatopterus_sp";"Dasypoda_sp";"Diptera_sp1";"Diptera_sp4";"Episyrphus_sp";"Halictidae_sp1";"Heliotaurus_ruficollis";"Lasioglossum_sp2";"Lasioglossum_sp3";"Lasioglossum_sp6";"Lobonyx_aeneus";"Macroglossum_stellatarum ";"Mordellidae_sp1";"Nitidulidae_sp1";"Nustera_distigma";"Phthiria_sp";"Phthiria_sp1";"Plebejus_argus";"Rhyncomyia_cupraea";"Sphaerophoria_scripta";"Syrphidae_sp1";"Syrphidae_sp3";"Tiphia_morio";"Xylocopa_cantabrita"
"151";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0316122233930453
"152";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.151955730201958;0;0;0;0;0;0;0;0;0;0;0;0;0
"153";0;0;0;0;0;0;0;0.385645420460632;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"155";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.19845644983462;0;0;0;0;0;0;0;0;0;0;0;0;0;0.30864023558918;0;0
"156";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.300920021631538;0;0;0.12987012987013;0;0;0;0;0;0;0;0;0;0;0;0;0
"157";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.674157303370787;0;0;0.0305553833233288;0;0;0;0;0;0;0;0;0;0;0;0;0
"164";0;0;0;0;0;0;0;0.0335382895472331;0;0;0;0;0;0;0;0;0;0;0;0.0488159812088975;0;0;0;0;0;0;0;0.0152776916616644;0;0;0;0;0
"165";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0336134453781513;0;0;0.138259653046737;0;0;0;0;0;0;0;0;0;0
"306";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0542740841248304
"307";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.273473108477666;0;0;0;0;0
"309";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.172145935652
"310";0;0;0;0;0;0;0;0.0707784282254771;0.0312989045383412;0;0;0;0;0;0;0;0.187793427230047;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.143844073751009
"311";0;0;0;0.290556900726392;0;0;0;0;0.203160270880361;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"312";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0373976969949111;0;0;0;0;0
"313";0;0;0;0;0;0;0;0;0.542551953643155;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"314";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0494521769260975;0;0;0;0;0.264608599779493
"317";0;0;0;0;0;0.638621388748099;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.304105423213381;0;0;0;0;0
"318";0;0;0;0;0;0;0;0;2.05743015988116;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.763682647433178;0;0;0;0;0
"319";0.571665285832643;0;0;0;0;0;0;0.17689704292831;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.745650372825186;0;0;0;0;0
"396";0;0;0;0;0.0894543075863562;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"397";0;0;0;0;0;0;0;0;0;0;0;0;0.120967741935484;0;0;0;0.779271515560581;0;0;0;0;0;0;0.0873647529425688;0;0;0;0.0803432207025607;0;0;0;0;0
"398";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.50224199658929;0;0;0;0;0;0;0;0;0;0;0;0;0
"399";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2.63372478350892;0;0;0.144439094848339;0;0;0;0;0;0;0;0.0968657706490111;0;0;0;0;0
"400";0;0;0;0;0.0438235749286695;0;0;0;0;0;0;0;0;0;0;0;0.676621882102809;0;0;0.0438235749286695;0;0;0;0;0;0;0;0;0;0;0;0;0
"401";0;0;0;0;0.131278226231658;0;0;0;0;0;0;0;0;0;0;0;0.0876471498573389;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"402";0;0;0;0;0.0260797073227008;0;0;0;0;0;0;0;0;0;0;0;0.072151512145237;0;0;0.00845718112658534;0;0;0;0.00881126309805772;0;0;0;0.00956073590059673;0;0;0;0.0410417525556698;0.0198639859322051
"403";0;0.0237812128418549;0;0;0.136744830692716;0;0;0;0;0;0;0;0.451843043995244;0;0;0;0;0;0;0.118906064209275;0;0;0;0;0;0;0;0.124416796267496;0;0;0;0;0
"404";0;0;0;0;0.0579990333494442;0;0;0;0.0282496805922079;0;0;0;0;0.0869985500241663;0;0;1.76897051715805;0;0;0;0;0;0;0;0;0;0;0.0282496805922079;0;0;0;0;0
"405";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0885608856088561;0;0;0;0;0;0;0;0;0;0;0;0;0.265682656826568
"406";0;0;0;0;0.0702701696258916;0;0;0;0;0;0;0;0;0;0;0.12783990135183;0.54635761589404;0;0;0;0;0;0;0.0536193029490617;0;0;0;0.214477211796247;0;0;0;0;0
"408";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.241610738255034;0;0.451032932027679;0;0;0.0435437032691712;0;0;0;0;0;0;0;0.337176779605212;0;0;0;0;0
"409";0;0;0;0;0.0383941054684803;0;0;0;0;0;0;0;0;0;0;0.398141859226277;2.04339795533659;0;0;0;0;0;0.0383941054684803;0;0;0;0;0.110102308078252;0.0678349349915206;0;0;0;0.189587612845556
"410";0;0;0;0;0.0628879413770652;0;0;0;0;0;0;0;0;0;0;0;0.853778213935231;0;0;0;0;0;0;0.0132148365795482;0;0;0;0;0;0;0;0;0
"438";0;0;0;0;0.0787232028259451;0;0;0;0;0;0;0;0;0;1.05158623596217;0;0;0;0;0;0;0;0.0131205338043242;0;0;0;0;0;0;0;0;0;0
"439";0;0;0;0;0.040623926822718;0;0;0;0;0;0;0;0;0;1.80472250175333;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"440";0;0;0;0;0.236169608477835;0;0;0;0;0;0;0;0;0;0.129477772982305;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"441";0;0;0;0;0.0545006788795004;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"442";0;0;0;0;0.265690809537565;0;0;0;0;0;0;0;0;0;0.0885636031791882;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"443";0;0;0;0;0.047233921695567;0;0;0;0;0;0;0;0;0;1.72910567412755;0;0.18189692507579;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"444";0;0;0;0;0.0492020017662157;0;0;0;0;0;0;0;0;0;0.0944678433911341;0;0.0688828024727019;0;0;0;0;0;0;0.0236169608477835;0;0;0;0;0;0;0;0;0
"445";0;0;0;0;0;0;0;0;0;0;0;0.816993464052288;0;0;1.24924150390267;0;0.359477124183007;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"446";0;0;0;0;0.118084804238918;0;0;0;0;0;0;0;0;0;0.0236169608477835;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"447";0;0;0;0;0.0590424021194588;0;0;0;0;0;0;0;0;0;1.26270956354663;0;0.347368421052632;0;0;0.0196808007064863;0;0;0;0;0;0;0;0;0;0;0;0;0
"448";0;0;0;0;0.324733211657024;0;0;0;0;0;0;0;0;0;0.288588558572683;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"449";0;0;0;0;0.118084804238918;0;0;0;0;0;0;0;0;0;2.11892904231405;0;0;0.236169608477835;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"516";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.115126610591404;0;0;0;0;0;0;0
"517";0;0;0;0;0;0;0;0;0;0.211000312460131;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"518";0;0;0;0;0;0;0;0;0;0.140913831980782;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
