species,real_value,model_mean,model_std,model_min,model_max,abs_error,z_score,model_range,z_range,metric,plot
Andrena_sp,4.0,21.9216,6.687131314137722,0.0,41.0,17.9216,2.6800131712847812,41.0,0.43711219512195126,MAE,MAE_A1_model2.csv
Apis_mellifera,18.0,43.8181,0.421461923565227,41.0,44.0,25.8181,61.25844010201386,3.0,8.606033333333334,MAE,MAE_A1_model2.csv
Attagenus_sp,1.0,3.3945,4.635150290100764,0.0,25.0,2.3945,0.5165959785843202,25.0,0.09577999999999999,MAE,MAE_A1_model2.csv
Bombylius_sp,2.0,12.1822,6.968820531909289,0.0,36.0,10.1822,1.4611080818306454,36.0,0.28283888888888886,MAE,MAE_A1_model2.csv
Ceratina_sp,1.0,13.5188,6.926661852901608,0.0,37.0,12.5188,1.8073352310039246,37.0,0.33834594594594597,MAE,MAE_A1_model2.csv
Colletes_sp,1.0,1.0464,2.6865161039676777,0.0,20.0,0.0464,0.01727143936768981,20.0,0.00232,MAE,MAE_A1_model2.csv
Diptera_sp7,1.0,1.0491,2.7074013725746697,0.0,24.0,0.04909999999999992,0.018135471340663123,24.0,0.00204583333333333,MAE,MAE_A1_model2.csv
Eristalis_sp,2.0,6.777,6.131723314295943,0.0,33.0,4.777,0.7790632021608929,33.0,0.14475757575757575,MAE,MAE_A1_model2.csv
Eucera_sp,4.0,9.9497,7.09161469694322,0.0,36.0,5.9497,0.8389767710539275,36.0,0.16526944444444444,MAE,MAE_A1_model2.csv
Lasioglossum_sp1,14.0,36.4546,3.627127575016423,15.0,44.0,22.4546,6.190738962331185,29.0,0.7742965517241379,MAE,MAE_A1_model2.csv
Lasioglossum_sp2,21.0,43.9492,0.2258859500859781,42.0,44.0,22.949199999999998,101.59640292486068,2.0,11.474599999999999,MAE,MAE_A1_model2.csv
Lasioglossum_sp6,3.0,12.9501,7.199277251870136,0.0,37.0,9.9501,1.3820970705657005,37.0,0.26892162162162164,MAE,MAE_A1_model2.csv
Lobonyx_aeneus,3.0,3.3266,4.7195508108278235,0.0,30.0,0.3266,0.06920150096714678,30.0,0.010886666666666666,MAE,MAE_A1_model2.csv
Malachius_sp,4.0,6.7,6.349506407836935,0.0,32.0,2.7,0.42522990396033006,32.0,0.084375,MAE,MAE_A1_model2.csv
Megachilidae_sp,1.0,9.0106,6.480284488253949,0.0,35.0,8.0106,1.2361494336429015,35.0,0.22887428571428572,MAE,MAE_A1_model2.csv
Rhyncomyia_cupraea,1.0,4.1238,4.9902468692822834,0.0,28.0,3.1238,0.6259810550112679,28.0,0.11156428571428571,MAE,MAE_A1_model2.csv
Syrphidae_sp3,2.0,5.2581,5.58703909871669,0.0,29.0,3.2580999999999998,0.5831532485155448,29.0,0.11234827586206896,MAE,MAE_A1_model2.csv
Xylocopa_cantabrita,4.0,32.1158,4.863060280885849,10.0,44.0,28.1158,5.781503492874339,34.0,0.8269352941176471,MAE,MAE_A1_model2.csv
Andrena_sp,4.0,19.8726,7.206619372235328,0.0,40.0,15.872599999999998,2.202502890766199,40.0,0.396815,RMAE,RMAE_A1_model2.csv
Apis_mellifera,18.0,43.8085,0.4297047993930968,41.0,44.0,25.808500000000002,60.06100010158419,3.0,8.602833333333335,RMAE,RMAE_A1_model2.csv
Attagenus_sp,1.0,3.9314,4.895170100112035,0.0,28.0,2.9314,0.5988351661023811,28.0,0.10469285714285714,RMAE,RMAE_A1_model2.csv
Bombylius_sp,2.0,11.538,6.925023580837799,0.0,34.0,9.538,1.3773238298267398,34.0,0.2805294117647059,RMAE,RMAE_A1_model2.csv
Ceratina_sp,1.0,15.5235,6.406258796300429,0.0,37.0,14.5235,2.2670798139449535,37.0,0.392527027027027,RMAE,RMAE_A1_model2.csv
