,Unnamed: 0,Model,Real,iteration,r_esp,r_gen,Tipo,Within_Cuartile_Threshold
5004,Andrena_sp,8.0,4,278,2.0092975063051908,0.6573329964655878,Especialista,True
5005,Apis_mellifera,12.0,18,278,2.0092975063051908,0.6573329964655878,Generalista,True
5006,Attagenus_sp,0.0,1,278,2.0092975063051908,0.6573329964655878,Especialista,True
5007,Bombylius_sp,2.0,2,278,2.0092975063051908,0.6573329964655878,Especialista,True
5008,Ceratina_sp,4.0,1,278,2.0092975063051908,0.6573329964655878,Especialista,True
5009,Eristalis_sp,1.0,2,278,2.0092975063051908,0.6573329964655878,Especialista,True
5010,Eucera_sp,3.0,4,278,2.0092975063051908,0.6573329964655878,Especialista,True
5011,Lasioglossum_sp1,18.0,14,278,2.0092975063051908,0.6573329964655878,Especialista,True
5012,Lasioglossum_sp2,26.0,21,278,2.0092975063051908,0.6573329964655878,Generalista,True
5013,Lasioglossum_sp6,1.0,3,278,2.0092975063051908,0.6573329964655878,Especialista,True
5014,Malachius_sp,3.0,4,278,2.0092975063051908,0.6573329964655878,Especialista,True
5015,Megachilidae_sp,0.0,1,278,2.0092975063051908,0.6573329964655878,Especialista,True
5016,Rhyncomyia_cupraea,1.0,1,278,2.0092975063051908,0.6573329964655878,Especialista,True
5017,Syrphidae_sp3,3.0,2,278,2.0092975063051908,0.6573329964655878,Especialista,True
5018,Xylocopa_cantabrita,14.0,4,278,2.0092975063051908,0.6573329964655878,Especialista,True
5019,Colletes_sp,0.0,1,278,2.0092975063051908,0.6573329964655878,Especialista,True
5020,Diptera_sp7,0.0,1,278,2.0092975063051908,0.6573329964655878,Especialista,True
5021,Lobonyx_aeneus,0.0,3,278,2.0092975063051908,0.6573329964655878,Especialista,True
5868,Andrena_sp,9.0,4,326,1.8231009559625555,0.6232327184690012,Especialista,True
5869,Apis_mellifera,15.0,18,326,1.8231009559625555,0.6232327184690012,Generalista,True
5870,Bombylius_sp,3.0,2,326,1.8231009559625555,0.6232327184690012,Especialista,True
5871,Ceratina_sp,6.0,1,326,1.8231009559625555,0.6232327184690012,Especialista,True
5872,Eucera_sp,1.0,4,326,1.8231009559625555,0.6232327184690012,Especialista,True
5873,Lasioglossum_sp1,17.0,14,326,1.8231009559625555,0.6232327184690012,Especialista,True
5874,Lasioglossum_sp2,19.0,21,326,1.8231009559625555,0.6232327184690012,Generalista,True
5875,Megachilidae_sp,4.0,1,326,1.8231009559625555,0.6232327184690012,Especialista,True
5876,Rhyncomyia_cupraea,0.0,1,326,1.8231009559625555,0.6232327184690012,Especialista,True
5877,Syrphidae_sp3,5.0,2,326,1.8231009559625555,0.6232327184690012,Especialista,True
5878,Xylocopa_cantabrita,11.0,4,326,1.8231009559625555,0.6232327184690012,Especialista,True
5879,Attagenus_sp,0.0,1,326,1.8231009559625555,0.6232327184690012,Especialista,True
5880,Colletes_sp,0.0,1,326,1.8231009559625555,0.6232327184690012,Especialista,True
5881,Diptera_sp7,0.0,1,326,1.8231009559625555,0.6232327184690012,Especialista,True
5882,Eristalis_sp,0.0,2,326,1.8231009559625555,0.6232327184690012,Especialista,True
5883,Lasioglossum_sp6,0.0,3,326,1.8231009559625555,0.6232327184690012,Especialista,True
5884,Lobonyx_aeneus,0.0,3,326,1.8231009559625555,0.6232327184690012,Especialista,True
5885,Malachius_sp,0.0,4,326,1.8231009559625555,0.6232327184690012,Especialista,True
8190,Andrena_sp,10.0,4,455,2.020762160470996,0.7474714914427765,Especialista,True
8191,Apis_mellifera,21.0,18,455,2.020762160470996,0.7474714914427765,Generalista,True
8192,Bombylius_sp,3.0,2,455,2.020762160470996,0.7474714914427765,Especialista,True
8193,Ceratina_sp,4.0,1,455,2.020762160470996,0.7474714914427765,Especialista,True
8194,Eucera_sp,4.0,4,455,2.020762160470996,0.7474714914427765,Especialista,True
8195,Lasioglossum_sp1,21.0,14,455,2.020762160470996,0.7474714914427765,Especialista,True
8196,Lasioglossum_sp2,26.0,21,455,2.020762160470996,0.7474714914427765,Generalista,True
8197,Lasioglossum_sp6,4.0,3,455,2.020762160470996,0.7474714914427765,Especialista,True
8198,Malachius_sp,3.0,4,455,2.020762160470996,0.7474714914427765,Especialista,True
8199,Megachilidae_sp,5.0,1,455,2.020762160470996,0.7474714914427765,Especialista,True
8200,Rhyncomyia_cupraea,4.0,1,455,2.020762160470996,0.7474714914427765,Especialista,True
8201,Syrphidae_sp3,8.0,2,455,2.020762160470996,0.7474714914427765,Especialista,True
8202,Xylocopa_cantabrita,19.0,4,455,2.020762160470996,0.7474714914427765,Especialista,True
8203,Attagenus_sp,0.0,1,455,2.020762160470996,0.7474714914427765,Especialista,True
8204,Colletes_sp,0.0,1,455,2.020762160470996,0.7474714914427765,Especialista,True
8205,Diptera_sp7,0.0,1,455,2.020762160470996,0.7474714914427765,Especialista,True
8206,Eristalis_sp,0.0,2,455,2.020762160470996,0.7474714914427765,Especialista,True
8207,Lobonyx_aeneus,0.0,3,455,2.020762160470996,0.7474714914427765,Especialista,True
11052,Andrena_sp,4.0,4,614,4.485819677145203,0.5229652002773927,Especialista,True
11053,Apis_mellifera,17.0,18,614,4.485819677145203,0.5229652002773927,Generalista,True
11054,Ceratina_sp,8.0,1,614,4.485819677145203,0.5229652002773927,Especialista,True
11055,Eristalis_sp,3.0,2,614,4.485819677145203,0.5229652002773927,Especialista,True
11056,Eucera_sp,7.0,4,614,4.485819677145203,0.5229652002773927,Especialista,True
11057,Lasioglossum_sp1,35.0,14,614,4.485819677145203,0.5229652002773927,Especialista,True
11058,Lasioglossum_sp2,20.0,21,614,4.485819677145203,0.5229652002773927,Generalista,True
11059,Lasioglossum_sp6,3.0,3,614,4.485819677145203,0.5229652002773927,Especialista,True
11060,Lobonyx_aeneus,7.0,3,614,4.485819677145203,0.5229652002773927,Especialista,True
11061,Megachilidae_sp,10.0,1,614,4.485819677145203,0.5229652002773927,Especialista,True
11062,Rhyncomyia_cupraea,6.0,1,614,4.485819677145203,0.5229652002773927,Especialista,True
11063,Xylocopa_cantabrita,28.0,4,614,4.485819677145203,0.5229652002773927,Especialista,True
11064,Attagenus_sp,0.0,1,614,4.485819677145203,0.5229652002773927,Especialista,True
11065,Bombylius_sp,0.0,2,614,4.485819677145203,0.5229652002773927,Especialista,True
11066,Colletes_sp,0.0,1,614,4.485819677145203,0.5229652002773927,Especialista,True
11067,Diptera_sp7,0.0,1,614,4.485819677145203,0.5229652002773927,Especialista,True
11068,Malachius_sp,0.0,4,614,4.485819677145203,0.5229652002773927,Especialista,True
11069,Syrphidae_sp3,0.0,2,614,4.485819677145203,0.5229652002773927,Especialista,True
