,Unnamed: 0,Model,Real,iteration,r_esp,r_gen,Tipo,Within_Cuartile_Threshold
6336,Andrena_sp,3.0,4,352,1.8503924760441184,0.8303662067514784,Especialista,True
6337,Apis_mellifera,18.0,18,352,1.8503924760441184,0.8303662067514784,Generalista,True
6338,Attagenus_sp,1.0,1,352,1.8503924760441184,0.8303662067514784,Especialista,True
6339,Bombylius_sp,4.0,2,352,1.8503924760441184,0.8303662067514784,Especialista,True
6340,Ceratina_sp,14.0,1,352,1.8503924760441184,0.8303662067514784,Especialista,True
6341,Colletes_sp,1.0,1,352,1.8503924760441184,0.8303662067514784,Especialista,True
6342,Lasioglossum_sp1,23.0,14,352,1.8503924760441184,0.8303662067514784,Especialista,True
6343,Lasioglossum_sp2,31.0,21,352,1.8503924760441184,0.8303662067514784,Generalista,True
6344,Lasioglossum_sp6,1.0,3,352,1.8503924760441184,0.8303662067514784,Especialista,True
6345,Lobonyx_aeneus,5.0,3,352,1.8503924760441184,0.8303662067514784,Especialista,True
6346,Malachius_sp,1.0,4,352,1.8503924760441184,0.8303662067514784,Especialista,True
6347,Megachilidae_sp,5.0,1,352,1.8503924760441184,0.8303662067514784,Especialista,True
6348,Xylocopa_cantabrita,12.0,4,352,1.8503924760441184,0.8303662067514784,Especialista,True
6349,Diptera_sp7,0.0,1,352,1.8503924760441184,0.8303662067514784,Especialista,True
6350,Eristalis_sp,0.0,2,352,1.8503924760441184,0.8303662067514784,Especialista,True
6351,Eucera_sp,0.0,4,352,1.8503924760441184,0.8303662067514784,Especialista,True
6352,Rhyncomyia_cupraea,0.0,1,352,1.8503924760441184,0.8303662067514784,Especialista,True
6353,Syrphidae_sp3,0.0,2,352,1.8503924760441184,0.8303662067514784,Especialista,True
9414,Andrena_sp,3.0,4,523,1.206763653610488,0.5980544215938347,Especialista,True
9415,Apis_mellifera,15.0,18,523,1.206763653610488,0.5980544215938347,Generalista,True
9416,Attagenus_sp,2.0,1,523,1.206763653610488,0.5980544215938347,Especialista,True
9417,Bombylius_sp,3.0,2,523,1.206763653610488,0.5980544215938347,Especialista,True
9418,Ceratina_sp,1.0,1,523,1.206763653610488,0.5980544215938347,Especialista,True
9419,Eristalis_sp,2.0,2,523,1.206763653610488,0.5980544215938347,Especialista,True
9420,Eucera_sp,0.0,4,523,1.206763653610488,0.5980544215938347,Especialista,True
9421,Lasioglossum_sp1,9.0,14,523,1.206763653610488,0.5980544215938347,Especialista,True
9422,Lasioglossum_sp2,17.0,21,523,1.206763653610488,0.5980544215938347,Generalista,True
9423,Lasioglossum_sp6,3.0,3,523,1.206763653610488,0.5980544215938347,Especialista,True
9424,Megachilidae_sp,0.0,1,523,1.206763653610488,0.5980544215938347,Especialista,True
9425,Syrphidae_sp3,3.0,2,523,1.206763653610488,0.5980544215938347,Especialista,True
9426,Xylocopa_cantabrita,6.0,4,523,1.206763653610488,0.5980544215938347,Especialista,True
9427,Colletes_sp,0.0,1,523,1.206763653610488,0.5980544215938347,Especialista,True
9428,Diptera_sp7,0.0,1,523,1.206763653610488,0.5980544215938347,Especialista,True
