,Unnamed: 0,Model,Real,iteration,r_esp,r_gen,Tipo,Within_Cuartile_Threshold
1098,Andrena_sp,7.0,4,61,3.0704792590583523,0.6207345831357525,Especialista,True
1099,Apis_mellifera,16.0,18,61,3.0704792590583523,0.6207345831357525,Generalista,True
1100,Bombylius_sp,2.0,2,61,3.0704792590583523,0.6207345831357525,Especialista,True
1101,Eucera_sp,8.0,4,61,3.0704792590583523,0.6207345831357525,Especialista,True
1102,Lasioglossum_sp1,31.0,14,61,3.0704792590583523,0.6207345831357525,Especialista,True
1103,Lasioglossum_sp2,17.0,21,61,3.0704792590583523,0.6207345831357525,Generalista,True
1104,Lasioglossum_sp6,5.0,3,61,3.0704792590583523,0.6207345831357525,Especialista,True
1105,Malachius_sp,3.0,4,61,3.0704792590583523,0.6207345831357525,Especialista,True
1106,Rhyncomyia_cupraea,1.0,1,61,3.0704792590583523,0.6207345831357525,Especialista,True
1107,Syrphidae_sp3,10.0,2,61,3.0704792590583523,0.6207345831357525,Especialista,True
1108,Xylocopa_cantabrita,35.0,4,61,3.0704792590583523,0.6207345831357525,Especialista,True
1109,Attagenus_sp,0.0,1,61,3.0704792590583523,0.6207345831357525,Especialista,True
1110,Ceratina_sp,0.0,1,61,3.0704792590583523,0.6207345831357525,Especialista,True
1111,Colletes_sp,0.0,1,61,3.0704792590583523,0.6207345831357525,Especialista,True
1112,Diptera_sp7,0.0,1,61,3.0704792590583523,0.6207345831357525,Especialista,True
1113,Eristalis_sp,0.0,2,61,3.0704792590583523,0.6207345831357525,Especialista,True
1114,Lobonyx_aeneus,0.0,3,61,3.0704792590583523,0.6207345831357525,Especialista,True
1115,Megachilidae_sp,0.0,1,61,3.0704792590583523,0.6207345831357525,Especialista,True
6354,Andrena_sp,8.0,4,353,1.6765198599543083,0.7854127316139008,Especialista,True
6355,Apis_mellifera,18.0,18,353,1.6765198599543083,0.7854127316139008,Generalista,True
6356,Bombylius_sp,6.0,2,353,1.6765198599543083,0.7854127316139008,Especialista,True
6357,Ceratina_sp,4.0,1,353,1.6765198599543083,0.7854127316139008,Especialista,True
6358,Colletes_sp,3.0,1,353,1.6765198599543083,0.7854127316139008,Especialista,True
6359,Eucera_sp,5.0,4,353,1.6765198599543083,0.7854127316139008,Especialista,True
6360,Lasioglossum_sp1,22.0,14,353,1.6765198599543083,0.7854127316139008,Especialista,True
6361,Lasioglossum_sp2,25.0,21,353,1.6765198599543083,0.7854127316139008,Generalista,True
6362,Lasioglossum_sp6,2.0,3,353,1.6765198599543083,0.7854127316139008,Especialista,True
6363,Megachilidae_sp,3.0,1,353,1.6765198599543083,0.7854127316139008,Especialista,True
6364,Rhyncomyia_cupraea,1.0,1,353,1.6765198599543083,0.7854127316139008,Especialista,True
6365,Xylocopa_cantabrita,14.0,4,353,1.6765198599543083,0.7854127316139008,Especialista,True
6366,Attagenus_sp,0.0,1,353,1.6765198599543083,0.7854127316139008,Especialista,True
6367,Diptera_sp7,0.0,1,353,1.6765198599543083,0.7854127316139008,Especialista,True
6368,Eristalis_sp,0.0,2,353,1.6765198599543083,0.7854127316139008,Especialista,True
6369,Lobonyx_aeneus,0.0,3,353,1.6765198599543083,0.7854127316139008,Especialista,True
6370,Malachius_sp,0.0,4,353,1.6765198599543083,0.7854127316139008,Especialista,True
6371,Syrphidae_sp3,0.0,2,353,1.6765198599543083,0.7854127316139008,Especialista,True
6804,Andrena_sp,5.0,4,378,1.1829743698059911,0.7584191917338192,Especialista,True
6805,Apis_mellifera,23.0,18,378,1.1829743698059911,0.7584191917338192,Generalista,True
6806,Eucera_sp,1.0,4,378,1.1829743698059911,0.7584191917338192,Especialista,True
6807,Lasioglossum_sp1,11.0,14,378,1.1829743698059911,0.7584191917338192,Especialista,True
6808,Lasioglossum_sp2,21.0,21,378,1.1829743698059911,0.7584191917338192,Generalista,True
6809,Lasioglossum_sp6,2.0,3,378,1.1829743698059911,0.7584191917338192,Especialista,True
6810,Malachius_sp,1.0,4,378,1.1829743698059911,0.7584191917338192,Especialista,True
6811,Megachilidae_sp,1.0,1,378,1.1829743698059911,0.7584191917338192,Especialista,True
6812,Syrphidae_sp3,1.0,2,378,1.1829743698059911,0.7584191917338192,Especialista,True
6813,Xylocopa_cantabrita,7.0,4,378,1.1829743698059911,0.7584191917338192,Especialista,True
6814,Attagenus_sp,0.0,1,378,1.1829743698059911,0.7584191917338192,Especialista,True
6815,Bombylius_sp,0.0,2,378,1.1829743698059911,0.7584191917338192,Especialista,True
6816,Ceratina_sp,0.0,1,378,1.1829743698059911,0.7584191917338192,Especialista,True
6817,Colletes_sp,0.0,1,378,1.1829743698059911,0.7584191917338192,Especialista,True
6818,Diptera_sp7,0.0,1,378,1.1829743698059911,0.7584191917338192,Especialista,True
6819,Eristalis_sp,0.0,2,378,1.1829743698059911,0.7584191917338192,Especialista,True
6820,Lobonyx_aeneus,0.0,3,378,1.1829743698059911,0.7584191917338192,Especialista,True
6821,Rhyncomyia_cupraea,0.0,1,378,1.1829743698059911,0.7584191917338192,Especialista,True
14616,Andrena_sp,12.0,4,812,10.913439810906365,0.8425729571099632,Especialista,True
14617,Apis_mellifera,20.0,18,812,10.913439810906365,0.8425729571099632,Generalista,True
14618,Bombylius_sp,6.0,2,812,10.913439810906365,0.8425729571099632,Especialista,True
14619,Ceratina_sp,6.0,1,812,10.913439810906365,0.8425729571099632,Especialista,True
14620,Eucera_sp,5.0,4,812,10.913439810906365,0.8425729571099632,Especialista,True
14621,Lasioglossum_sp1,25.0,14,812,10.913439810906365,0.8425729571099632,Especialista,True
14622,Lasioglossum_sp2,25.0,21,812,10.913439810906365,0.8425729571099632,Generalista,True
14623,Lasioglossum_sp6,22.0,3,812,10.913439810906365,0.8425729571099632,Especialista,True
14624,Rhyncomyia_cupraea,6.0,1,812,10.913439810906365,0.8425729571099632,Especialista,True
14625,Xylocopa_cantabrita,29.0,4,812,10.913439810906365,0.8425729571099632,Especialista,True
14626,Attagenus_sp,0.0,1,812,10.913439810906365,0.8425729571099632,Especialista,True
14627,Colletes_sp,0.0,1,812,10.913439810906365,0.8425729571099632,Especialista,True
14628,Diptera_sp7,0.0,1,812,10.913439810906365,0.8425729571099632,Especialista,True
14629,Eristalis_sp,0.0,2,812,10.913439810906365,0.8425729571099632,Especialista,True
14630,Lobonyx_aeneus,0.0,3,812,10.913439810906365,0.8425729571099632,Especialista,True
14631,Malachius_sp,0.0,4,812,10.913439810906365,0.8425729571099632,Especialista,True
14632,Megachilidae_sp,0.0,1,812,10.913439810906365,0.8425729571099632,Especialista,True
14633,Syrphidae_sp3,0.0,2,812,10.913439810906365,0.8425729571099632,Especialista,True
16344,Andrena_sp,0.0,4,908,0.81015556953086,0.8142297300771321,Especialista,True
16345,Apis_mellifera,13.0,18,908,0.81015556953086,0.8142297300771321,Generalista,True
16346,Bombylius_sp,1.0,2,908,0.81015556953086,0.8142297300771321,Especialista,True
16347,Ceratina_sp,1.0,1,908,0.81015556953086,0.8142297300771321,Especialista,True
16348,Eristalis_sp,0.0,2,908,0.81015556953086,0.8142297300771321,Especialista,True
16349,Eucera_sp,1.0,4,908,0.81015556953086,0.8142297300771321,Especialista,True
16350,Lasioglossum_sp1,6.0,14,908,0.81015556953086,0.8142297300771321,Especialista,True
16351,Lasioglossum_sp2,29.0,21,908,0.81015556953086,0.8142297300771321,Generalista,True
16352,Lasioglossum_sp6,1.0,3,908,0.81015556953086,0.8142297300771321,Especialista,True
16353,Malachius_sp,0.0,4,908,0.81015556953086,0.8142297300771321,Especialista,True
16354,Xylocopa_cantabrita,5.0,4,908,0.81015556953086,0.8142297300771321,Especialista,True
16355,Attagenus_sp,0.0,1,908,0.81015556953086,0.8142297300771321,Especialista,True
16356,Colletes_sp,0.0,1,908,0.81015556953086,0.8142297300771321,Especialista,True
16357,Diptera_sp7,0.0,1,908,0.81015556953086,0.8142297300771321,Especialista,True
16358,Lobonyx_aeneus,0.0,3,908,0.81015556953086,0.8142297300771321,Especialista,True
16359,Megachilidae_sp,0.0,1,908,0.81015556953086,0.8142297300771321,Especialista,True
16360,Rhyncomyia_cupraea,0.0,1,908,0.81015556953086,0.8142297300771321,Especialista,True
16361,Syrphidae_sp3,0.0,2,908,0.81015556953086,0.8142297300771321,Especialista,True
17622,Andrena_sp,1.0,4,979,0.791829485212378,0.6424171086402591,Especialista,True
17623,Apis_mellifera,17.0,18,979,0.791829485212378,0.6424171086402591,Generalista,True
17624,Ceratina_sp,1.0,1,979,0.791829485212378,0.6424171086402591,Especialista,True
17625,Eristalis_sp,0.0,2,979,0.791829485212378,0.6424171086402591,Especialista,True
17626,Eucera_sp,1.0,4,979,0.791829485212378,0.6424171086402591,Especialista,True
17627,Lasioglossum_sp1,1.0,14,979,0.791829485212378,0.6424171086402591,Especialista,True
17628,Lasioglossum_sp2,22.0,21,979,0.791829485212378,0.6424171086402591,Generalista,True
17629,Lasioglossum_sp6,1.0,3,979,0.791829485212378,0.6424171086402591,Especialista,True
17630,Malachius_sp,0.0,4,979,0.791829485212378,0.6424171086402591,Especialista,True
17631,Rhyncomyia_cupraea,1.0,1,979,0.791829485212378,0.6424171086402591,Especialista,True
17632,Xylocopa_cantabrita,5.0,4,979,0.791829485212378,0.6424171086402591,Especialista,True
17633,Attagenus_sp,0.0,1,979,0.791829485212378,0.6424171086402591,Especialista,True
17634,Bombylius_sp,0.0,2,979,0.791829485212378,0.6424171086402591,Especialista,True
17635,Colletes_sp,0.0,1,979,0.791829485212378,0.6424171086402591,Especialista,True
17636,Diptera_sp7,0.0,1,979,0.791829485212378,0.6424171086402591,Especialista,True
17637,Lobonyx_aeneus,0.0,3,979,0.791829485212378,0.6424171086402591,Especialista,True
17638,Megachilidae_sp,0.0,1,979,0.791829485212378,0.6424171086402591,Especialista,True
17639,Syrphidae_sp3,0.0,2,979,0.791829485212378,0.6424171086402591,Especialista,True
19926,Andrena_sp,4.0,4,1107,1.3376758368531882,0.6605319282527562,Especialista,True
19927,Apis_mellifera,19.0,18,1107,1.3376758368531882,0.6605319282527562,Generalista,True
19928,Attagenus_sp,1.0,1,1107,1.3376758368531882,0.6605319282527562,Especialista,True
19929,Bombylius_sp,6.0,2,1107,1.3376758368531882,0.6605319282527562,Especialista,True
19930,Ceratina_sp,4.0,1,1107,1.3376758368531882,0.6605319282527562,Especialista,True
19931,Eucera_sp,2.0,4,1107,1.3376758368531882,0.6605319282527562,Especialista,True
19932,Lasioglossum_sp1,15.0,14,1107,1.3376758368531882,0.6605319282527562,Especialista,True
19933,Lasioglossum_sp2,19.0,21,1107,1.3376758368531882,0.6605319282527562,Generalista,True
19934,Lasioglossum_sp6,1.0,3,1107,1.3376758368531882,0.6605319282527562,Especialista,True
19935,Lobonyx_aeneus,3.0,3,1107,1.3376758368531882,0.6605319282527562,Especialista,True
19936,Malachius_sp,0.0,4,1107,1.3376758368531882,0.6605319282527562,Especialista,True
19937,Megachilidae_sp,2.0,1,1107,1.3376758368531882,0.6605319282527562,Especialista,True
19938,Rhyncomyia_cupraea,0.0,1,1107,1.3376758368531882,0.6605319282527562,Especialista,True
19939,Syrphidae_sp3,1.0,2,1107,1.3376758368531882,0.6605319282527562,Especialista,True
19940,Xylocopa_cantabrita,11.0,4,1107,1.3376758368531882,0.6605319282527562,Especialista,True
19941,Colletes_sp,0.0,1,1107,1.3376758368531882,0.6605319282527562,Especialista,True
19942,Diptera_sp7,0.0,1,1107,1.3376758368531882,0.6605319282527562,Especialista,True
19943,Eristalis_sp,0.0,2,1107,1.3376758368531882,0.6605319282527562,Especialista,True
20196,Andrena_sp,16.0,4,1122,2.824224580803894,0.6644303886575709,Especialista,True
20197,Apis_mellifera,17.0,18,1122,2.824224580803894,0.6644303886575709,Generalista,True
20198,Attagenus_sp,4.0,1,1122,2.824224580803894,0.6644303886575709,Especialista,True
20199,Bombylius_sp,4.0,2,1122,2.824224580803894,0.6644303886575709,Especialista,True
20200,Ceratina_sp,10.0,1,1122,2.824224580803894,0.6644303886575709,Especialista,True
20201,Eucera_sp,7.0,4,1122,2.824224580803894,0.6644303886575709,Especialista,True
20202,Lasioglossum_sp1,24.0,14,1122,2.824224580803894,0.6644303886575709,Especialista,True
20203,Lasioglossum_sp2,19.0,21,1122,2.824224580803894,0.6644303886575709,Generalista,True
20204,Lasioglossum_sp6,5.0,3,1122,2.824224580803894,0.6644303886575709,Especialista,True
20205,Malachius_sp,2.0,4,1122,2.824224580803894,0.6644303886575709,Especialista,True
20206,Megachilidae_sp,6.0,1,1122,2.824224580803894,0.6644303886575709,Especialista,True
20207,Rhyncomyia_cupraea,4.0,1,1122,2.824224580803894,0.6644303886575709,Especialista,True
20208,Syrphidae_sp3,6.0,2,1122,2.824224580803894,0.6644303886575709,Especialista,True
20209,Xylocopa_cantabrita,33.0,4,1122,2.824224580803894,0.6644303886575709,Especialista,True
20210,Colletes_sp,0.0,1,1122,2.824224580803894,0.6644303886575709,Especialista,True
20211,Diptera_sp7,0.0,1,1122,2.824224580803894,0.6644303886575709,Especialista,True
20212,Eristalis_sp,0.0,2,1122,2.824224580803894,0.6644303886575709,Especialista,True
20213,Lobonyx_aeneus,0.0,3,1122,2.824224580803894,0.6644303886575709,Especialista,True
21132,Andrena_sp,7.0,4,1174,4.083685348466004,0.7215906985636372,Especialista,True
21133,Apis_mellifera,12.0,18,1174,4.083685348466004,0.7215906985636372,Generalista,True
21134,Attagenus_sp,3.0,1,1174,4.083685348466004,0.7215906985636372,Especialista,True
21135,Bombylius_sp,7.0,2,1174,4.083685348466004,0.7215906985636372,Especialista,True
21136,Eucera_sp,4.0,4,1174,4.083685348466004,0.7215906985636372,Especialista,True
21137,Lasioglossum_sp1,32.0,14,1174,4.083685348466004,0.7215906985636372,Especialista,True
21138,Lasioglossum_sp2,28.0,21,1174,4.083685348466004,0.7215906985636372,Generalista,True
21139,Lasioglossum_sp6,6.0,3,1174,4.083685348466004,0.7215906985636372,Especialista,True
21140,Lobonyx_aeneus,5.0,3,1174,4.083685348466004,0.7215906985636372,Especialista,True
21141,Xylocopa_cantabrita,28.0,4,1174,4.083685348466004,0.7215906985636372,Especialista,True
21142,Ceratina_sp,0.0,1,1174,4.083685348466004,0.7215906985636372,Especialista,True
21143,Colletes_sp,0.0,1,1174,4.083685348466004,0.7215906985636372,Especialista,True
21144,Diptera_sp7,0.0,1,1174,4.083685348466004,0.7215906985636372,Especialista,True
21145,Eristalis_sp,0.0,2,1174,4.083685348466004,0.7215906985636372,Especialista,True
21146,Malachius_sp,0.0,4,1174,4.083685348466004,0.7215906985636372,Especialista,True
21147,Megachilidae_sp,0.0,1,1174,4.083685348466004,0.7215906985636372,Especialista,True
21148,Rhyncomyia_cupraea,0.0,1,1174,4.083685348466004,0.7215906985636372,Especialista,True
21149,Syrphidae_sp3,0.0,2,1174,4.083685348466004,0.7215906985636372,Especialista,True
22554,Andrena_sp,29.0,4,1253,3.320233446082073,0.7835147186345085,Especialista,True
22555,Apis_mellifera,23.0,18,1253,3.320233446082073,0.7835147186345085,Generalista,True
22556,Bombylius_sp,3.0,2,1253,3.320233446082073,0.7835147186345085,Especialista,True
22557,Ceratina_sp,5.0,1,1253,3.320233446082073,0.7835147186345085,Especialista,True
22558,Eucera_sp,10.0,4,1253,3.320233446082073,0.7835147186345085,Especialista,True
22559,Lasioglossum_sp1,22.0,14,1253,3.320233446082073,0.7835147186345085,Especialista,True
22560,Lasioglossum_sp2,19.0,21,1253,3.320233446082073,0.7835147186345085,Generalista,True
22561,Lasioglossum_sp6,2.0,3,1253,3.320233446082073,0.7835147186345085,Especialista,True
22562,Lobonyx_aeneus,5.0,3,1253,3.320233446082073,0.7835147186345085,Especialista,True
22563,Malachius_sp,7.0,4,1253,3.320233446082073,0.7835147186345085,Especialista,True
22564,Megachilidae_sp,4.0,1,1253,3.320233446082073,0.7835147186345085,Especialista,True
22565,Xylocopa_cantabrita,13.0,4,1253,3.320233446082073,0.7835147186345085,Especialista,True
22566,Attagenus_sp,0.0,1,1253,3.320233446082073,0.7835147186345085,Especialista,True
22567,Colletes_sp,0.0,1,1253,3.320233446082073,0.7835147186345085,Especialista,True
22568,Diptera_sp7,0.0,1,1253,3.320233446082073,0.7835147186345085,Especialista,True
22569,Eristalis_sp,0.0,2,1253,3.320233446082073,0.7835147186345085,Especialista,True
22570,Rhyncomyia_cupraea,0.0,1,1253,3.320233446082073,0.7835147186345085,Especialista,True
22571,Syrphidae_sp3,0.0,2,1253,3.320233446082073,0.7835147186345085,Especialista,True
27828,Andrena_sp,3.0,4,1546,1.1790854094329597,0.7459434822024066,Especialista,True
27829,Apis_mellifera,18.0,18,1546,1.1790854094329597,0.7459434822024066,Generalista,True
27830,Bombylius_sp,4.0,2,1546,1.1790854094329597,0.7459434822024066,Especialista,True
27831,Ceratina_sp,5.0,1,1546,1.1790854094329597,0.7459434822024066,Especialista,True
27832,Eristalis_sp,2.0,2,1546,1.1790854094329597,0.7459434822024066,Especialista,True
