,Unnamed: 0,Model,Real,iteration,r_esp,r_gen,Tipo,Within_Cuartile_Threshold
910,Andrena_sp,4.0,1,35,1.160851516800982,0.8293811124846155,Especialista,True
911,Apis_mellifera,23.0,21,35,1.160851516800982,0.8293811124846155,Generalista,True
912,Bombylius_sp,5.0,10,35,1.160851516800982,0.8293811124846155,Especialista,True
913,Episyrphus_sp,0.0,1,35,1.160851516800982,0.8293811124846155,Especialista,True
914,Eristalis_sp,7.0,9,35,1.160851516800982,0.8293811124846155,Especialista,True
915,Eucera_sp,7.0,6,35,1.160851516800982,0.8293811124846155,Especialista,True
916,Lasioglossum_sp1,15.0,20,35,1.160851516800982,0.8293811124846155,Generalista,True
917,Lasioglossum_sp2,29.0,22,35,1.160851516800982,0.8293811124846155,Generalista,True
918,Lasioglossum_sp6,3.0,4,35,1.160851516800982,0.8293811124846155,Especialista,True
919,Lobonyx_aeneus,1.0,5,35,1.160851516800982,0.8293811124846155,Especialista,True
920,Paragus_tibialis,1.0,1,35,1.160851516800982,0.8293811124846155,Especialista,True
921,Syrphidae_sp3,0.0,2,35,1.160851516800982,0.8293811124846155,Especialista,True
922,Xylocopa_cantabrita,1.0,5,35,1.160851516800982,0.8293811124846155,Especialista,True
923,Anthophora_sp,0.0,1,35,1.160851516800982,0.8293811124846155,Especialista,True
924,Cantharidae_sp,0.0,1,35,1.160851516800982,0.8293811124846155,Especialista,True
925,Chalicodoma_sicula,0.0,1,35,1.160851516800982,0.8293811124846155,Especialista,True
926,Chrysolina_americana,0.0,2,35,1.160851516800982,0.8293811124846155,Especialista,True
927,Halictus_sp2,0.0,1,35,1.160851516800982,0.8293811124846155,Especialista,True
928,Halictus_sp3,0.0,1,35,1.160851516800982,0.8293811124846155,Especialista,True
929,Hymenoptera_sp1,0.0,1,35,1.160851516800982,0.8293811124846155,Especialista,True
930,Malachius_sp,0.0,4,35,1.160851516800982,0.8293811124846155,Especialista,True
931,Malthodes_sp,0.0,1,35,1.160851516800982,0.8293811124846155,Especialista,True
932,Nomada_sp,0.0,1,35,1.160851516800982,0.8293811124846155,Especialista,True
933,Rhyncomyia_cupraea,0.0,1,35,1.160851516800982,0.8293811124846155,Especialista,True
934,Syrphidae_sp1,0.0,1,35,1.160851516800982,0.8293811124846155,Especialista,True
935,Syrphidae_sp2,0.0,2,35,1.160851516800982,0.8293811124846155,Especialista,True
1820,Anthophora_sp,5.0,1,70,3.9561493727988455,1.0255648995897548,Especialista,True
1821,Apis_mellifera,18.0,21,70,3.9561493727988455,1.0255648995897548,Generalista,True
1822,Bombylius_sp,34.0,10,70,3.9561493727988455,1.0255648995897548,Especialista,True
1823,Eristalis_sp,15.0,9,70,3.9561493727988455,1.0255648995897548,Especialista,True
1824,Eucera_sp,8.0,6,70,3.9561493727988455,1.0255648995897548,Especialista,True
1825,Hymenoptera_sp1,4.0,1,70,3.9561493727988455,1.0255648995897548,Especialista,True
1826,Lasioglossum_sp1,23.0,20,70,3.9561493727988455,1.0255648995897548,Generalista,True
1827,Lasioglossum_sp2,38.0,22,70,3.9561493727988455,1.0255648995897548,Generalista,True
1828,Malachius_sp,5.0,4,70,3.9561493727988455,1.0255648995897548,Especialista,True
1829,Syrphidae_sp2,8.0,2,70,3.9561493727988455,1.0255648995897548,Especialista,True
1830,Xylocopa_cantabrita,8.0,5,70,3.9561493727988455,1.0255648995897548,Especialista,True
1831,Andrena_sp,0.0,1,70,3.9561493727988455,1.0255648995897548,Especialista,True
1832,Cantharidae_sp,0.0,1,70,3.9561493727988455,1.0255648995897548,Especialista,True
1833,Chalicodoma_sicula,0.0,1,70,3.9561493727988455,1.0255648995897548,Especialista,True
1834,Chrysolina_americana,0.0,2,70,3.9561493727988455,1.0255648995897548,Especialista,True
1835,Episyrphus_sp,0.0,1,70,3.9561493727988455,1.0255648995897548,Especialista,True
1836,Halictus_sp2,0.0,1,70,3.9561493727988455,1.0255648995897548,Especialista,True
1837,Halictus_sp3,0.0,1,70,3.9561493727988455,1.0255648995897548,Especialista,True
1838,Lasioglossum_sp6,0.0,4,70,3.9561493727988455,1.0255648995897548,Especialista,True
1839,Lobonyx_aeneus,0.0,5,70,3.9561493727988455,1.0255648995897548,Especialista,True
1840,Malthodes_sp,0.0,1,70,3.9561493727988455,1.0255648995897548,Especialista,True
1841,Nomada_sp,0.0,1,70,3.9561493727988455,1.0255648995897548,Especialista,True
1842,Paragus_tibialis,0.0,1,70,3.9561493727988455,1.0255648995897548,Especialista,True
1843,Rhyncomyia_cupraea,0.0,1,70,3.9561493727988455,1.0255648995897548,Especialista,True
1844,Syrphidae_sp1,0.0,1,70,3.9561493727988455,1.0255648995897548,Especialista,True
1845,Syrphidae_sp3,0.0,2,70,3.9561493727988455,1.0255648995897548,Especialista,True
6916,Apis_mellifera,16.0,21,266,3.0071371524995163,0.7054068956110011,Generalista,True
6917,Bombylius_sp,24.0,10,266,3.0071371524995163,0.7054068956110011,Especialista,True
6918,Chalicodoma_sicula,7.0,1,266,3.0071371524995163,0.7054068956110011,Especialista,True
6919,Episyrphus_sp,4.0,1,266,3.0071371524995163,0.7054068956110011,Especialista,True
6920,Eristalis_sp,26.0,9,266,3.0071371524995163,0.7054068956110011,Especialista,True
6921,Eucera_sp,11.0,6,266,3.0071371524995163,0.7054068956110011,Especialista,True
6922,Halictus_sp2,2.0,1,266,3.0071371524995163,0.7054068956110011,Especialista,True
6923,Lasioglossum_sp1,23.0,20,266,3.0071371524995163,0.7054068956110011,Generalista,True
6924,Lasioglossum_sp2,24.0,22,266,3.0071371524995163,0.7054068956110011,Generalista,True
6925,Lasioglossum_sp6,9.0,4,266,3.0071371524995163,0.7054068956110011,Especialista,True
6926,Malachius_sp,11.0,4,266,3.0071371524995163,0.7054068956110011,Especialista,True
6927,Syrphidae_sp2,3.0,2,266,3.0071371524995163,0.7054068956110011,Especialista,True
6928,Syrphidae_sp3,4.0,2,266,3.0071371524995163,0.7054068956110011,Especialista,True
6929,Andrena_sp,0.0,1,266,3.0071371524995163,0.7054068956110011,Especialista,True
6930,Anthophora_sp,0.0,1,266,3.0071371524995163,0.7054068956110011,Especialista,True
6931,Cantharidae_sp,0.0,1,266,3.0071371524995163,0.7054068956110011,Especialista,True
6932,Chrysolina_americana,0.0,2,266,3.0071371524995163,0.7054068956110011,Especialista,True
6933,Halictus_sp3,0.0,1,266,3.0071371524995163,0.7054068956110011,Especialista,True
6934,Hymenoptera_sp1,0.0,1,266,3.0071371524995163,0.7054068956110011,Especialista,True
6935,Lobonyx_aeneus,0.0,5,266,3.0071371524995163,0.7054068956110011,Especialista,True
6936,Malthodes_sp,0.0,1,266,3.0071371524995163,0.7054068956110011,Especialista,True
6937,Nomada_sp,0.0,1,266,3.0071371524995163,0.7054068956110011,Especialista,True
6938,Paragus_tibialis,0.0,1,266,3.0071371524995163,0.7054068956110011,Especialista,True
6939,Rhyncomyia_cupraea,0.0,1,266,3.0071371524995163,0.7054068956110011,Especialista,True
6940,Syrphidae_sp1,0.0,1,266,3.0071371524995163,0.7054068956110011,Especialista,True
6941,Xylocopa_cantabrita,0.0,5,266,3.0071371524995163,0.7054068956110011,Especialista,True
7306,Apis_mellifera,23.0,21,281,2.825782803965856,0.8877329159443663,Generalista,True
7307,Bombylius_sp,31.0,10,281,2.825782803965856,0.8877329159443663,Especialista,True
7308,Episyrphus_sp,2.0,1,281,2.825782803965856,0.8877329159443663,Especialista,True
7309,Eristalis_sp,27.0,9,281,2.825782803965856,0.8877329159443663,Especialista,True
7310,Eucera_sp,16.0,6,281,2.825782803965856,0.8877329159443663,Especialista,True
7311,Lasioglossum_sp1,23.0,20,281,2.825782803965856,0.8877329159443663,Generalista,True
7312,Lasioglossum_sp2,28.0,22,281,2.825782803965856,0.8877329159443663,Generalista,True
7313,Lasioglossum_sp6,8.0,4,281,2.825782803965856,0.8877329159443663,Especialista,True
7314,Lobonyx_aeneus,15.0,5,281,2.825782803965856,0.8877329159443663,Especialista,True
7315,Paragus_tibialis,4.0,1,281,2.825782803965856,0.8877329159443663,Especialista,True
7316,Rhyncomyia_cupraea,5.0,1,281,2.825782803965856,0.8877329159443663,Especialista,True
7317,Syrphidae_sp2,6.0,2,281,2.825782803965856,0.8877329159443663,Especialista,True
7318,Syrphidae_sp3,15.0,2,281,2.825782803965856,0.8877329159443663,Especialista,True
7319,Xylocopa_cantabrita,5.0,5,281,2.825782803965856,0.8877329159443663,Especialista,True
7320,Andrena_sp,0.0,1,281,2.825782803965856,0.8877329159443663,Especialista,True
7321,Anthophora_sp,0.0,1,281,2.825782803965856,0.8877329159443663,Especialista,True
7322,Cantharidae_sp,0.0,1,281,2.825782803965856,0.8877329159443663,Especialista,True
7323,Chalicodoma_sicula,0.0,1,281,2.825782803965856,0.8877329159443663,Especialista,True
7324,Chrysolina_americana,0.0,2,281,2.825782803965856,0.8877329159443663,Especialista,True
7325,Halictus_sp2,0.0,1,281,2.825782803965856,0.8877329159443663,Especialista,True
7326,Halictus_sp3,0.0,1,281,2.825782803965856,0.8877329159443663,Especialista,True
7327,Hymenoptera_sp1,0.0,1,281,2.825782803965856,0.8877329159443663,Especialista,True
7328,Malachius_sp,0.0,4,281,2.825782803965856,0.8877329159443663,Especialista,True
7329,Malthodes_sp,0.0,1,281,2.825782803965856,0.8877329159443663,Especialista,True
7330,Nomada_sp,0.0,1,281,2.825782803965856,0.8877329159443663,Especialista,True
7331,Syrphidae_sp1,0.0,1,281,2.825782803965856,0.8877329159443663,Especialista,True
7462,Andrena_sp,4.0,1,287,4.1520302784418766,0.8081376809838596,Especialista,True
7463,Apis_mellifera,21.0,21,287,4.1520302784418766,0.8081376809838596,Generalista,True
7464,Bombylius_sp,29.0,10,287,4.1520302784418766,0.8081376809838596,Especialista,True
7465,Chalicodoma_sicula,6.0,1,287,4.1520302784418766,0.8081376809838596,Especialista,True
7466,Eristalis_sp,29.0,9,287,4.1520302784418766,0.8081376809838596,Especialista,True
7467,Hymenoptera_sp1,7.0,1,287,4.1520302784418766,0.8081376809838596,Especialista,True
7468,Lasioglossum_sp1,23.0,20,287,4.1520302784418766,0.8081376809838596,Generalista,True
7469,Lasioglossum_sp2,27.0,22,287,4.1520302784418766,0.8081376809838596,Generalista,True
7470,Lasioglossum_sp6,11.0,4,287,4.1520302784418766,0.8081376809838596,Especialista,True
7471,Lobonyx_aeneus,7.0,5,287,4.1520302784418766,0.8081376809838596,Especialista,True
7472,Malachius_sp,8.0,4,287,4.1520302784418766,0.8081376809838596,Especialista,True
7473,Nomada_sp,5.0,1,287,4.1520302784418766,0.8081376809838596,Especialista,True
7474,Syrphidae_sp2,17.0,2,287,4.1520302784418766,0.8081376809838596,Especialista,True
7475,Syrphidae_sp3,2.0,2,287,4.1520302784418766,0.8081376809838596,Especialista,True
7476,Xylocopa_cantabrita,9.0,5,287,4.1520302784418766,0.8081376809838596,Especialista,True
7477,Anthophora_sp,0.0,1,287,4.1520302784418766,0.8081376809838596,Especialista,True
7478,Cantharidae_sp,0.0,1,287,4.1520302784418766,0.8081376809838596,Especialista,True
7479,Chrysolina_americana,0.0,2,287,4.1520302784418766,0.8081376809838596,Especialista,True
7480,Episyrphus_sp,0.0,1,287,4.1520302784418766,0.8081376809838596,Especialista,True
7481,Eucera_sp,0.0,6,287,4.1520302784418766,0.8081376809838596,Especialista,True
7482,Halictus_sp2,0.0,1,287,4.1520302784418766,0.8081376809838596,Especialista,True
7483,Halictus_sp3,0.0,1,287,4.1520302784418766,0.8081376809838596,Especialista,True
7484,Malthodes_sp,0.0,1,287,4.1520302784418766,0.8081376809838596,Especialista,True
7485,Paragus_tibialis,0.0,1,287,4.1520302784418766,0.8081376809838596,Especialista,True
7486,Rhyncomyia_cupraea,0.0,1,287,4.1520302784418766,0.8081376809838596,Especialista,True
7487,Syrphidae_sp1,0.0,1,287,4.1520302784418766,0.8081376809838596,Especialista,True
13182,Andrena_sp,1.0,1,507,2.314649573513884,0.9061450740617492,Especialista,True
13183,Anthophora_sp,1.0,1,507,2.314649573513884,0.9061450740617492,Especialista,True
13184,Apis_mellifera,21.0,21,507,2.314649573513884,0.9061450740617492,Generalista,True
13185,Bombylius_sp,23.0,10,507,2.314649573513884,0.9061450740617492,Especialista,True
13186,Eristalis_sp,10.0,9,507,2.314649573513884,0.9061450740617492,Especialista,True
13187,Eucera_sp,20.0,6,507,2.314649573513884,0.9061450740617492,Especialista,True
13188,Halictus_sp2,2.0,1,507,2.314649573513884,0.9061450740617492,Especialista,True
13189,Hymenoptera_sp1,4.0,1,507,2.314649573513884,0.9061450740617492,Especialista,True
13190,Lasioglossum_sp1,24.0,20,507,2.314649573513884,0.9061450740617492,Generalista,True
13191,Lasioglossum_sp2,27.0,22,507,2.314649573513884,0.9061450740617492,Generalista,True
13192,Lasioglossum_sp6,12.0,4,507,2.314649573513884,0.9061450740617492,Especialista,True
13193,Lobonyx_aeneus,2.0,5,507,2.314649573513884,0.9061450740617492,Especialista,True
13194,Malachius_sp,6.0,4,507,2.314649573513884,0.9061450740617492,Especialista,True
13195,Nomada_sp,0.0,1,507,2.314649573513884,0.9061450740617492,Especialista,True
13196,Syrphidae_sp3,14.0,2,507,2.314649573513884,0.9061450740617492,Especialista,True
13197,Xylocopa_cantabrita,4.0,5,507,2.314649573513884,0.9061450740617492,Especialista,True
13198,Cantharidae_sp,0.0,1,507,2.314649573513884,0.9061450740617492,Especialista,True
13199,Chalicodoma_sicula,0.0,1,507,2.314649573513884,0.9061450740617492,Especialista,True
