,Unnamed: 0,Model,Real,iteration,r_esp,r_gen,Tipo,Within_Cuartile_Threshold
3240,Andrena_sp,20.0,7,81,1.9700035557021125,0.6276867810855197,Especialista,True
3241,Anthrenus_sp,10.0,8,81,1.9700035557021125,0.6276867810855197,Especialista,True
3242,Apis_mellifera,2.0,2,81,1.9700035557021125,0.6276867810855197,Especialista,True
3243,Attagenus_sp,25.0,6,81,1.9700035557021125,0.6276867810855197,Especialista,True
3244,Ceratina_sp,16.0,2,81,1.9700035557021125,0.6276867810855197,Especialista,True
3245,Chasmatopterus_sp,35.0,10,81,1.9700035557021125,0.6276867810855197,Especialista,True
3246,Dasypoda_sp,3.0,2,81,1.9700035557021125,0.6276867810855197,Especialista,True
3247,Eucera_sp,2.0,1,81,1.9700035557021125,0.6276867810855197,Especialista,True
3248,Heliotaurus_ruficollis,9.0,13,81,1.9700035557021125,0.6276867810855197,Especialista,True
3249,Lasioglossum_sp2,31.0,23,81,1.9700035557021125,0.6276867810855197,Generalista,True
3250,Megachilidae_sp,7.0,2,81,1.9700035557021125,0.6276867810855197,Especialista,True
3251,Phthiria_sp,4.0,3,81,1.9700035557021125,0.6276867810855197,Especialista,True
3252,Rhyncomyia_cupraea,46.0,19,81,1.9700035557021125,0.6276867810855197,Especialista,True
3253,Tiphia_morio,1.0,4,81,1.9700035557021125,0.6276867810855197,Especialista,True
3254,Xylocopa_cantabrita,19.0,27,81,1.9700035557021125,0.6276867810855197,Generalista,True
3255,Bombus_terrestris,0.0,8,81,1.9700035557021125,0.6276867810855197,Especialista,True
3256,Bombylius_sp,0.0,1,81,1.9700035557021125,0.6276867810855197,Especialista,True
3257,Chalicodoma_sicula,0.0,1,81,1.9700035557021125,0.6276867810855197,Especialista,True
3258,Chelostoma_sp,0.0,1,81,1.9700035557021125,0.6276867810855197,Especialista,True
3259,Deilus_sp,0.0,1,81,1.9700035557021125,0.6276867810855197,Especialista,True
3260,Diodontus_insidiosus,0.0,3,81,1.9700035557021125,0.6276867810855197,Especialista,True
3261,Diptera_sp1,0.0,1,81,1.9700035557021125,0.6276867810855197,Especialista,True
