,Unnamed: 0,Model,Real,iteration,r_esp,r_gen,Tipo,Within_Cuartile_Threshold
1947,Amegilla_sp,6.0,1,59,1.9967369559331156,1.022716336380172,Especialista,True
1948,Anthophora_bimaculata,3.0,1,59,1.9967369559331156,1.022716336380172,Especialista,True
1949,Anthrenus_sp,17.0,20,59,1.9967369559331156,1.022716336380172,Especialista,True
1950,Apis_mellifera,4.0,1,59,1.9967369559331156,1.022716336380172,Especialista,True
1951,Attagenus_sp,0.0,2,59,1.9967369559331156,1.022716336380172,Especialista,True
1952,Bombus_terrestris,7.0,5,59,1.9967369559331156,1.022716336380172,Especialista,True
1953,Bombylius_sp,15.0,5,59,1.9967369559331156,1.022716336380172,Especialista,True
1954,Chasmatopterus_sp,15.0,14,59,1.9967369559331156,1.022716336380172,Generalista,True
1955,Diptera_sp1,5.0,1,59,1.9967369559331156,1.022716336380172,Especialista,True
1956,Diptera_sp4,3.0,2,59,1.9967369559331156,1.022716336380172,Especialista,True
1957,Halictidae_sp1,19.0,16,59,1.9967369559331156,1.022716336380172,Generalista,True
1958,Heliotaurus_ruficollis,0.0,8,59,1.9967369559331156,1.022716336380172,Especialista,True
1959,Lasioglossum_sp2,33.0,25,59,1.9967369559331156,1.022716336380172,Generalista,True
1960,Lasioglossum_sp3,0.0,3,59,1.9967369559331156,1.022716336380172,Especialista,True
1961,Lobonyx_aeneus,16.0,14,59,1.9967369559331156,1.022716336380172,Especialista,True
1962,Macroglossum_stellatarum ,6.0,1,59,1.9967369559331156,1.022716336380172,Especialista,True
1963,Nitidulidae_sp1,6.0,3,59,1.9967369559331156,1.022716336380172,Especialista,True
1964,Nustera_distigma,0.0,6,59,1.9967369559331156,1.022716336380172,Especialista,True
1965,Phthiria_sp,1.0,5,59,1.9967369559331156,1.022716336380172,Especialista,True
1966,Phthiria_sp1,4.0,5,59,1.9967369559331156,1.022716336380172,Especialista,True
1967,Plebejus_argus,1.0,1,59,1.9967369559331156,1.022716336380172,Especialista,True
1968,Rhyncomyia_cupraea,20.0,16,59,1.9967369559331156,1.022716336380172,Especialista,True
1969,Syrphidae_sp3,2.0,1,59,1.9967369559331156,1.022716336380172,Especialista,True
1970,Xylocopa_cantabrita,6.0,14,59,1.9967369559331156,1.022716336380172,Especialista,True
1971,Andrena_sp,0.0,1,59,1.9967369559331156,1.022716336380172,Especialista,True
1972,Anthidiellum_strigatum,0.0,1,59,1.9967369559331156,1.022716336380172,Especialista,True
1973,Dasypoda_sp,0.0,1,59,1.9967369559331156,1.022716336380172,Especialista,True
1974,Episyrphus_sp,0.0,1,59,1.9967369559331156,1.022716336380172,Especialista,True
1975,Lasioglossum_sp6,0.0,1,59,1.9967369559331156,1.022716336380172,Especialista,True
1976,Mordellidae_sp1,0.0,1,59,1.9967369559331156,1.022716336380172,Especialista,True
1977,Sphaerophoria_scripta,0.0,1,59,1.9967369559331156,1.022716336380172,Especialista,True
1978,Syrphidae_sp1,0.0,1,59,1.9967369559331156,1.022716336380172,Especialista,True
1979,Tiphia_morio,0.0,1,59,1.9967369559331156,1.022716336380172,Especialista,True
1980,Amegilla_sp,1.0,1,60,2.300772701723666,1.087196863948986,Especialista,True
1981,Anthophora_bimaculata,4.0,1,60,2.300772701723666,1.087196863948986,Especialista,True
1982,Anthrenus_sp,19.0,20,60,2.300772701723666,1.087196863948986,Especialista,True
1983,Apis_mellifera,8.0,1,60,2.300772701723666,1.087196863948986,Especialista,True
1984,Attagenus_sp,4.0,2,60,2.300772701723666,1.087196863948986,Especialista,True
1985,Bombus_terrestris,3.0,5,60,2.300772701723666,1.087196863948986,Especialista,True
1986,Bombylius_sp,23.0,5,60,2.300772701723666,1.087196863948986,Especialista,True
1987,Chasmatopterus_sp,14.0,14,60,2.300772701723666,1.087196863948986,Generalista,True
1988,Diptera_sp1,6.0,1,60,2.300772701723666,1.087196863948986,Especialista,True
1989,Diptera_sp4,9.0,2,60,2.300772701723666,1.087196863948986,Especialista,True
1990,Episyrphus_sp,0.0,1,60,2.300772701723666,1.087196863948986,Especialista,True
1991,Halictidae_sp1,35.0,16,60,2.300772701723666,1.087196863948986,Generalista,True
1992,Heliotaurus_ruficollis,11.0,8,60,2.300772701723666,1.087196863948986,Especialista,True
1993,Lasioglossum_sp2,17.0,25,60,2.300772701723666,1.087196863948986,Generalista,True
1994,Lobonyx_aeneus,18.0,14,60,2.300772701723666,1.087196863948986,Especialista,True
1995,Macroglossum_stellatarum ,4.0,1,60,2.300772701723666,1.087196863948986,Especialista,True
1996,Nitidulidae_sp1,5.0,3,60,2.300772701723666,1.087196863948986,Especialista,True
1997,Phthiria_sp,2.0,5,60,2.300772701723666,1.087196863948986,Especialista,True
1998,Phthiria_sp1,3.0,5,60,2.300772701723666,1.087196863948986,Especialista,True
1999,Plebejus_argus,1.0,1,60,2.300772701723666,1.087196863948986,Especialista,True
2000,Rhyncomyia_cupraea,23.0,16,60,2.300772701723666,1.087196863948986,Especialista,True
2001,Syrphidae_sp3,3.0,1,60,2.300772701723666,1.087196863948986,Especialista,True
2002,Xylocopa_cantabrita,15.0,14,60,2.300772701723666,1.087196863948986,Especialista,True
2003,Andrena_sp,0.0,1,60,2.300772701723666,1.087196863948986,Especialista,True
2004,Anthidiellum_strigatum,0.0,1,60,2.300772701723666,1.087196863948986,Especialista,True
2005,Dasypoda_sp,0.0,1,60,2.300772701723666,1.087196863948986,Especialista,True
2006,Lasioglossum_sp3,0.0,3,60,2.300772701723666,1.087196863948986,Especialista,True
2007,Lasioglossum_sp6,0.0,1,60,2.300772701723666,1.087196863948986,Especialista,True
2008,Mordellidae_sp1,0.0,1,60,2.300772701723666,1.087196863948986,Especialista,True
2009,Nustera_distigma,0.0,6,60,2.300772701723666,1.087196863948986,Especialista,True
2010,Sphaerophoria_scripta,0.0,1,60,2.300772701723666,1.087196863948986,Especialista,True
2011,Syrphidae_sp1,0.0,1,60,2.300772701723666,1.087196863948986,Especialista,True
2012,Tiphia_morio,0.0,1,60,2.300772701723666,1.087196863948986,Especialista,True
4389,Amegilla_sp,5.0,1,133,2.367302179806304,0.8565239043646177,Especialista,True
4390,Anthidiellum_strigatum,2.0,1,133,2.367302179806304,0.8565239043646177,Especialista,True
4391,Anthophora_bimaculata,6.0,1,133,2.367302179806304,0.8565239043646177,Especialista,True
4392,Anthrenus_sp,18.0,20,133,2.367302179806304,0.8565239043646177,Especialista,True
4393,Apis_mellifera,4.0,1,133,2.367302179806304,0.8565239043646177,Especialista,True
4394,Attagenus_sp,7.0,2,133,2.367302179806304,0.8565239043646177,Especialista,True
4395,Bombus_terrestris,5.0,5,133,2.367302179806304,0.8565239043646177,Especialista,True
4396,Bombylius_sp,31.0,5,133,2.367302179806304,0.8565239043646177,Especialista,True
4397,Chasmatopterus_sp,15.0,14,133,2.367302179806304,0.8565239043646177,Generalista,True
4398,Diptera_sp1,8.0,1,133,2.367302179806304,0.8565239043646177,Especialista,True
4399,Diptera_sp4,8.0,2,133,2.367302179806304,0.8565239043646177,Especialista,True
4400,Halictidae_sp1,19.0,16,133,2.367302179806304,0.8565239043646177,Generalista,True
4401,Heliotaurus_ruficollis,7.0,8,133,2.367302179806304,0.8565239043646177,Especialista,True
4402,Lasioglossum_sp2,24.0,25,133,2.367302179806304,0.8565239043646177,Generalista,True
4403,Lasioglossum_sp3,5.0,3,133,2.367302179806304,0.8565239043646177,Especialista,True
4404,Lobonyx_aeneus,9.0,14,133,2.367302179806304,0.8565239043646177,Especialista,True
4405,Macroglossum_stellatarum ,12.0,1,133,2.367302179806304,0.8565239043646177,Especialista,True
4406,Nitidulidae_sp1,4.0,3,133,2.367302179806304,0.8565239043646177,Especialista,True
4407,Nustera_distigma,2.0,6,133,2.367302179806304,0.8565239043646177,Especialista,True
4408,Phthiria_sp,2.0,5,133,2.367302179806304,0.8565239043646177,Especialista,True
4409,Phthiria_sp1,11.0,5,133,2.367302179806304,0.8565239043646177,Especialista,True
4410,Plebejus_argus,3.0,1,133,2.367302179806304,0.8565239043646177,Especialista,True
4411,Rhyncomyia_cupraea,13.0,16,133,2.367302179806304,0.8565239043646177,Especialista,True
4412,Tiphia_morio,1.0,1,133,2.367302179806304,0.8565239043646177,Especialista,True
4413,Xylocopa_cantabrita,14.0,14,133,2.367302179806304,0.8565239043646177,Especialista,True
4414,Andrena_sp,0.0,1,133,2.367302179806304,0.8565239043646177,Especialista,True
4415,Dasypoda_sp,0.0,1,133,2.367302179806304,0.8565239043646177,Especialista,True
4416,Episyrphus_sp,0.0,1,133,2.367302179806304,0.8565239043646177,Especialista,True
4417,Lasioglossum_sp6,0.0,1,133,2.367302179806304,0.8565239043646177,Especialista,True
4418,Mordellidae_sp1,0.0,1,133,2.367302179806304,0.8565239043646177,Especialista,True
4419,Sphaerophoria_scripta,0.0,1,133,2.367302179806304,0.8565239043646177,Especialista,True
4420,Syrphidae_sp1,0.0,1,133,2.367302179806304,0.8565239043646177,Especialista,True
4421,Syrphidae_sp3,0.0,1,133,2.367302179806304,0.8565239043646177,Especialista,True
9075,Amegilla_sp,3.0,1,275,4.451036930198335,0.9527513803483364,Especialista,True
9076,Anthophora_bimaculata,1.0,1,275,4.451036930198335,0.9527513803483364,Especialista,True
9077,Anthrenus_sp,31.0,20,275,4.451036930198335,0.9527513803483364,Especialista,True
9078,Apis_mellifera,10.0,1,275,4.451036930198335,0.9527513803483364,Especialista,True
9079,Attagenus_sp,8.0,2,275,4.451036930198335,0.9527513803483364,Especialista,True
9080,Bombus_terrestris,7.0,5,275,4.451036930198335,0.9527513803483364,Especialista,True
9081,Bombylius_sp,33.0,5,275,4.451036930198335,0.9527513803483364,Especialista,True
9082,Chasmatopterus_sp,14.0,14,275,4.451036930198335,0.9527513803483364,Generalista,True
9083,Dasypoda_sp,0.0,1,275,4.451036930198335,0.9527513803483364,Especialista,True
9084,Diptera_sp1,8.0,1,275,4.451036930198335,0.9527513803483364,Especialista,True
9085,Diptera_sp4,7.0,2,275,4.451036930198335,0.9527513803483364,Especialista,True
9086,Episyrphus_sp,4.0,1,275,4.451036930198335,0.9527513803483364,Especialista,True
9087,Halictidae_sp1,22.0,16,275,4.451036930198335,0.9527513803483364,Generalista,True
