,Unnamed: 0,Model,Real,iteration,r_esp,r_gen,Tipo,Within_Cuartile_Threshold
7786,Anthrenus_sp,20.0,15,229,1.9173749274316043,0.6932020917970348,Generalista,True
7787,Apis_mellifera,5.0,7,229,1.9173749274316043,0.6932020917970348,Especialista,True
7788,Bombus_terrestris,27.0,10,229,1.9173749274316043,0.6932020917970348,Especialista,True
7789,Bombylius_sp,7.0,5,229,1.9173749274316043,0.6932020917970348,Especialista,True
7790,Cardiophorus_sp,9.0,1,229,1.9173749274316043,0.6932020917970348,Especialista,True
7791,Chasmatopterus_sp,55.0,14,229,1.9173749274316043,0.6932020917970348,Especialista,True
7792,Colletes_sp,8.0,4,229,1.9173749274316043,0.6932020917970348,Especialista,True
7793,Dasypoda_sp,8.0,7,229,1.9173749274316043,0.6932020917970348,Especialista,True
7794,Diodontus_insidiosus,12.0,3,229,1.9173749274316043,0.6932020917970348,Especialista,True
7795,Halictidae_sp1,18.0,6,229,1.9173749274316043,0.6932020917970348,Especialista,True
7796,Lasioglossum_sp1,3.0,2,229,1.9173749274316043,0.6932020917970348,Especialista,True
7797,Lasioglossum_sp2,34.0,34,229,1.9173749274316043,0.6932020917970348,Generalista,True
7798,Lobonyx_aeneus,15.0,18,229,1.9173749274316043,0.6932020917970348,Especialista,True
7799,Malachius_sp,1.0,1,229,1.9173749274316043,0.6932020917970348,Especialista,True
7800,Nitidulidae_sp1,3.0,5,229,1.9173749274316043,0.6932020917970348,Especialista,True
7801,Nustera_distigma,2.0,3,229,1.9173749274316043,0.6932020917970348,Especialista,True
7802,Phthiria_sp,7.0,4,229,1.9173749274316043,0.6932020917970348,Especialista,True
7803,Rhyncomyia_cupraea,20.0,16,229,1.9173749274316043,0.6932020917970348,Especialista,True
7804,Syritta_pipiens,2.0,1,229,1.9173749274316043,0.6932020917970348,Especialista,True
7805,Xylocopa_cantabrita,42.0,17,229,1.9173749274316043,0.6932020917970348,Especialista,True
7806,Attagenus_sp,0.0,3,229,1.9173749274316043,0.6932020917970348,Especialista,True
7807,Ceratina_sp,0.0,1,229,1.9173749274316043,0.6932020917970348,Especialista,True
7808,Chrysolina_americana,0.0,1,229,1.9173749274316043,0.6932020917970348,Especialista,True
7809,Eristalis_sp,0.0,1,229,1.9173749274316043,0.6932020917970348,Especialista,True
7810,Eucera_sp,0.0,1,229,1.9173749274316043,0.6932020917970348,Especialista,True
7811,Heliotaurus_ruficollis,0.0,9,229,1.9173749274316043,0.6932020917970348,Especialista,True
7812,Lasioglossum_sp3,0.0,2,229,1.9173749274316043,0.6932020917970348,Especialista,True
7813,Lasioglossum_sp6,0.0,2,229,1.9173749274316043,0.6932020917970348,Especialista,True
7814,Lindenius_luteiventris,0.0,1,229,1.9173749274316043,0.6932020917970348,Especialista,True
7815,Metasyrphus_corollae,0.0,1,229,1.9173749274316043,0.6932020917970348,Especialista,True
7816,Mordellidae_sp1,0.0,1,229,1.9173749274316043,0.6932020917970348,Especialista,True
7817,Oedemera_sp,0.0,3,229,1.9173749274316043,0.6932020917970348,Especialista,True
7818,Phthiria_sp1,0.0,4,229,1.9173749274316043,0.6932020917970348,Especialista,True
7819,Tiphia_morio,0.0,1,229,1.9173749274316043,0.6932020917970348,Especialista,True
12138,Anthrenus_sp,18.0,15,357,2.133984790253472,0.7044660097865759,Generalista,True
12139,Apis_mellifera,7.0,7,357,2.133984790253472,0.7044660097865759,Especialista,True
12140,Bombus_terrestris,43.0,10,357,2.133984790253472,0.7044660097865759,Especialista,True
12141,Bombylius_sp,16.0,5,357,2.133984790253472,0.7044660097865759,Especialista,True
12142,Cardiophorus_sp,19.0,1,357,2.133984790253472,0.7044660097865759,Especialista,True
12143,Ceratina_sp,3.0,1,357,2.133984790253472,0.7044660097865759,Especialista,True
12144,Chasmatopterus_sp,53.0,14,357,2.133984790253472,0.7044660097865759,Especialista,True
12145,Colletes_sp,5.0,4,357,2.133984790253472,0.7044660097865759,Especialista,True
12146,Dasypoda_sp,9.0,7,357,2.133984790253472,0.7044660097865759,Especialista,True
12147,Diodontus_insidiosus,4.0,3,357,2.133984790253472,0.7044660097865759,Especialista,True
12148,Halictidae_sp1,12.0,6,357,2.133984790253472,0.7044660097865759,Especialista,True
12149,Lasioglossum_sp1,3.0,2,357,2.133984790253472,0.7044660097865759,Especialista,True
12150,Lasioglossum_sp2,34.0,34,357,2.133984790253472,0.7044660097865759,Generalista,True
12151,Lobonyx_aeneus,18.0,18,357,2.133984790253472,0.7044660097865759,Especialista,True
12152,Nitidulidae_sp1,6.0,5,357,2.133984790253472,0.7044660097865759,Especialista,True
12153,Rhyncomyia_cupraea,34.0,16,357,2.133984790253472,0.7044660097865759,Especialista,True
12154,Xylocopa_cantabrita,21.0,17,357,2.133984790253472,0.7044660097865759,Especialista,True
12155,Attagenus_sp,0.0,3,357,2.133984790253472,0.7044660097865759,Especialista,True
12156,Chrysolina_americana,0.0,1,357,2.133984790253472,0.7044660097865759,Especialista,True
12157,Eristalis_sp,0.0,1,357,2.133984790253472,0.7044660097865759,Especialista,True
12158,Eucera_sp,0.0,1,357,2.133984790253472,0.7044660097865759,Especialista,True
12159,Heliotaurus_ruficollis,0.0,9,357,2.133984790253472,0.7044660097865759,Especialista,True
12160,Lasioglossum_sp3,0.0,2,357,2.133984790253472,0.7044660097865759,Especialista,True
12161,Lasioglossum_sp6,0.0,2,357,2.133984790253472,0.7044660097865759,Especialista,True
12162,Lindenius_luteiventris,0.0,1,357,2.133984790253472,0.7044660097865759,Especialista,True
12163,Malachius_sp,0.0,1,357,2.133984790253472,0.7044660097865759,Especialista,True
12164,Metasyrphus_corollae,0.0,1,357,2.133984790253472,0.7044660097865759,Especialista,True
12165,Mordellidae_sp1,0.0,1,357,2.133984790253472,0.7044660097865759,Especialista,True
12166,Nustera_distigma,0.0,3,357,2.133984790253472,0.7044660097865759,Especialista,True
12167,Oedemera_sp,0.0,3,357,2.133984790253472,0.7044660097865759,Especialista,True
12168,Phthiria_sp,0.0,4,357,2.133984790253472,0.7044660097865759,Especialista,True
12169,Phthiria_sp1,0.0,4,357,2.133984790253472,0.7044660097865759,Especialista,True
12170,Syritta_pipiens,0.0,1,357,2.133984790253472,0.7044660097865759,Especialista,True
12171,Tiphia_morio,0.0,1,357,2.133984790253472,0.7044660097865759,Especialista,True
28322,Anthrenus_sp,20.0,15,833,1.428544367195389,0.4979371501577298,Generalista,True
28323,Apis_mellifera,13.0,7,833,1.428544367195389,0.4979371501577298,Especialista,True
28324,Attagenus_sp,0.0,3,833,1.428544367195389,0.4979371501577298,Especialista,True
28325,Bombus_terrestris,19.0,10,833,1.428544367195389,0.4979371501577298,Especialista,True
28326,Bombylius_sp,5.0,5,833,1.428544367195389,0.4979371501577298,Especialista,True
28327,Cardiophorus_sp,1.0,1,833,1.428544367195389,0.4979371501577298,Especialista,True
28328,Chasmatopterus_sp,25.0,14,833,1.428544367195389,0.4979371501577298,Especialista,True
28329,Colletes_sp,1.0,4,833,1.428544367195389,0.4979371501577298,Especialista,True
28330,Dasypoda_sp,3.0,7,833,1.428544367195389,0.4979371501577298,Especialista,True
28331,Diodontus_insidiosus,4.0,3,833,1.428544367195389,0.4979371501577298,Especialista,True
28332,Eristalis_sp,2.0,1,833,1.428544367195389,0.4979371501577298,Especialista,True
28333,Halictidae_sp1,15.0,6,833,1.428544367195389,0.4979371501577298,Especialista,True
28334,Heliotaurus_ruficollis,1.0,9,833,1.428544367195389,0.4979371501577298,Especialista,True
28335,Lasioglossum_sp1,1.0,2,833,1.428544367195389,0.4979371501577298,Especialista,True
28336,Lasioglossum_sp2,18.0,34,833,1.428544367195389,0.4979371501577298,Generalista,True
28337,Lasioglossum_sp3,0.0,2,833,1.428544367195389,0.4979371501577298,Especialista,True
28338,Lobonyx_aeneus,2.0,18,833,1.428544367195389,0.4979371501577298,Especialista,True
28339,Nitidulidae_sp1,1.0,5,833,1.428544367195389,0.4979371501577298,Especialista,True
28340,Oedemera_sp,1.0,3,833,1.428544367195389,0.4979371501577298,Especialista,True
28341,Phthiria_sp,3.0,4,833,1.428544367195389,0.4979371501577298,Especialista,True
28342,Rhyncomyia_cupraea,21.0,16,833,1.428544367195389,0.4979371501577298,Especialista,True
28343,Tiphia_morio,4.0,1,833,1.428544367195389,0.4979371501577298,Especialista,True
28344,Xylocopa_cantabrita,10.0,17,833,1.428544367195389,0.4979371501577298,Especialista,True
28345,Ceratina_sp,0.0,1,833,1.428544367195389,0.4979371501577298,Especialista,True
28346,Chrysolina_americana,0.0,1,833,1.428544367195389,0.4979371501577298,Especialista,True
28347,Eucera_sp,0.0,1,833,1.428544367195389,0.4979371501577298,Especialista,True
28348,Lasioglossum_sp6,0.0,2,833,1.428544367195389,0.4979371501577298,Especialista,True
28349,Lindenius_luteiventris,0.0,1,833,1.428544367195389,0.4979371501577298,Especialista,True
28350,Malachius_sp,0.0,1,833,1.428544367195389,0.4979371501577298,Especialista,True
28351,Metasyrphus_corollae,0.0,1,833,1.428544367195389,0.4979371501577298,Especialista,True
28352,Mordellidae_sp1,0.0,1,833,1.428544367195389,0.4979371501577298,Especialista,True
28353,Nustera_distigma,0.0,3,833,1.428544367195389,0.4979371501577298,Especialista,True
28354,Phthiria_sp1,0.0,4,833,1.428544367195389,0.4979371501577298,Especialista,True
28355,Syritta_pipiens,0.0,1,833,1.428544367195389,0.4979371501577298,Especialista,True
34034,Anthrenus_sp,18.0,15,1001,1.7484043517162453,0.5427776858288398,Generalista,True
34035,Apis_mellifera,2.0,7,1001,1.7484043517162453,0.5427776858288398,Especialista,True
34036,Bombus_terrestris,33.0,10,1001,1.7484043517162453,0.5427776858288398,Especialista,True
34037,Bombylius_sp,13.0,5,1001,1.7484043517162453,0.5427776858288398,Especialista,True
34038,Cardiophorus_sp,12.0,1,1001,1.7484043517162453,0.5427776858288398,Especialista,True
34039,Chasmatopterus_sp,34.0,14,1001,1.7484043517162453,0.5427776858288398,Especialista,True
34040,Colletes_sp,7.0,4,1001,1.7484043517162453,0.5427776858288398,Especialista,True
34041,Dasypoda_sp,5.0,7,1001,1.7484043517162453,0.5427776858288398,Especialista,True
34042,Diodontus_insidiosus,9.0,3,1001,1.7484043517162453,0.5427776858288398,Especialista,True
