,Unnamed: 0,Model,Real,iteration,r_esp,r_gen,Tipo,Within_Cuartile_Threshold
11288,Anthrenus_sp,21.0,15,332,0.8824279863385908,0.6376552086962642,Generalista,True
11289,Apis_mellifera,2.0,7,332,0.8824279863385908,0.6376552086962642,Especialista,True
11290,Attagenus_sp,1.0,3,332,0.8824279863385908,0.6376552086962642,Especialista,True
11291,Bombus_terrestris,7.0,10,332,0.8824279863385908,0.6376552086962642,Especialista,True
11292,Bombylius_sp,3.0,5,332,0.8824279863385908,0.6376552086962642,Especialista,True
11293,Cardiophorus_sp,4.0,1,332,0.8824279863385908,0.6376552086962642,Especialista,True
11294,Chasmatopterus_sp,10.0,14,332,0.8824279863385908,0.6376552086962642,Especialista,True
11295,Colletes_sp,1.0,4,332,0.8824279863385908,0.6376552086962642,Especialista,True
11296,Dasypoda_sp,0.0,7,332,0.8824279863385908,0.6376552086962642,Especialista,True
11297,Diodontus_insidiosus,3.0,3,332,0.8824279863385908,0.6376552086962642,Especialista,True
11298,Halictidae_sp1,4.0,6,332,0.8824279863385908,0.6376552086962642,Especialista,True
11299,Heliotaurus_ruficollis,1.0,9,332,0.8824279863385908,0.6376552086962642,Especialista,True
11300,Lasioglossum_sp1,0.0,2,332,0.8824279863385908,0.6376552086962642,Especialista,True
11301,Lasioglossum_sp2,23.0,34,332,0.8824279863385908,0.6376552086962642,Generalista,True
11302,Lasioglossum_sp6,1.0,2,332,0.8824279863385908,0.6376552086962642,Especialista,True
11303,Lobonyx_aeneus,9.0,18,332,0.8824279863385908,0.6376552086962642,Especialista,True
11304,Nitidulidae_sp1,1.0,5,332,0.8824279863385908,0.6376552086962642,Especialista,True
11305,Oedemera_sp,0.0,3,332,0.8824279863385908,0.6376552086962642,Especialista,True
11306,Phthiria_sp,0.0,4,332,0.8824279863385908,0.6376552086962642,Especialista,True
11307,Rhyncomyia_cupraea,9.0,16,332,0.8824279863385908,0.6376552086962642,Especialista,True
11308,Xylocopa_cantabrita,8.0,17,332,0.8824279863385908,0.6376552086962642,Especialista,True
11309,Ceratina_sp,0.0,1,332,0.8824279863385908,0.6376552086962642,Especialista,True
11310,Chrysolina_americana,0.0,1,332,0.8824279863385908,0.6376552086962642,Especialista,True
11311,Eristalis_sp,0.0,1,332,0.8824279863385908,0.6376552086962642,Especialista,True
11312,Eucera_sp,0.0,1,332,0.8824279863385908,0.6376552086962642,Especialista,True
