,Unnamed: 0,Model,Real,iteration,r_esp,r_gen,Tipo,Within_Cuartile_Threshold
1254,Anthophora_sp,8.0,4,57,1.4222965850449862,0.6678715466611052,Especialista,True
1255,Apis_mellifera,17.0,20,57,1.4222965850449862,0.6678715466611052,Generalista,True
1256,Attagenus_sp,2.0,3,57,1.4222965850449862,0.6678715466611052,Especialista,True
1257,Bombylius_sp,4.0,4,57,1.4222965850449862,0.6678715466611052,Especialista,True
1258,Chalicodoma_sicula,2.0,1,57,1.4222965850449862,0.6678715466611052,Especialista,True
1259,Colletes_sp,3.0,3,57,1.4222965850449862,0.6678715466611052,Especialista,True
1260,Eristalis_sp,4.0,5,57,1.4222965850449862,0.6678715466611052,Especialista,True
1261,Lasioglossum_sp1,14.0,16,57,1.4222965850449862,0.6678715466611052,Generalista,True
1262,Lasioglossum_sp2,19.0,16,57,1.4222965850449862,0.6678715466611052,Especialista,True
1263,Xylocopa_cantabrita,2.0,4,57,1.4222965850449862,0.6678715466611052,Especialista,True
1264,Chrysolina_americana,0.0,1,57,1.4222965850449862,0.6678715466611052,Especialista,True
1265,Diptera_sp7,0.0,1,57,1.4222965850449862,0.6678715466611052,Especialista,True
1266,Halictus_sp2,0.0,1,57,1.4222965850449862,0.6678715466611052,Especialista,True
1267,Lasioglossum_sp3,0.0,1,57,1.4222965850449862,0.6678715466611052,Especialista,True
1268,Lobonyx_aeneus,0.0,2,57,1.4222965850449862,0.6678715466611052,Especialista,True
1269,Malachius_sp,0.0,1,57,1.4222965850449862,0.6678715466611052,Especialista,True
1270,Osmia_sp,0.0,1,57,1.4222965850449862,0.6678715466611052,Especialista,True
1271,Rhyncomyia_cupraea,0.0,2,57,1.4222965850449862,0.6678715466611052,Especialista,True
1272,Sphaerophoria_scripta,0.0,1,57,1.4222965850449862,0.6678715466611052,Especialista,True
1273,Syrphidae_sp2,0.0,3,57,1.4222965850449862,0.6678715466611052,Especialista,True
1274,Thyreus_sp,0.0,1,57,1.4222965850449862,0.6678715466611052,Especialista,True
1275,Vespidae,0.0,1,57,1.4222965850449862,0.6678715466611052,Especialista,True
3300,Anthophora_sp,5.0,4,150,1.5539041315274793,0.8161962413315452,Especialista,True
3301,Apis_mellifera,22.0,20,150,1.5539041315274793,0.8161962413315452,Generalista,True
3302,Bombylius_sp,2.0,4,150,1.5539041315274793,0.8161962413315452,Especialista,True
3303,Chrysolina_americana,7.0,1,150,1.5539041315274793,0.8161962413315452,Especialista,True
3304,Colletes_sp,1.0,3,150,1.5539041315274793,0.8161962413315452,Especialista,True
3305,Eristalis_sp,3.0,5,150,1.5539041315274793,0.8161962413315452,Especialista,True
3306,Lasioglossum_sp1,17.0,16,150,1.5539041315274793,0.8161962413315452,Generalista,True
3307,Lasioglossum_sp2,23.0,16,150,1.5539041315274793,0.8161962413315452,Especialista,True
3308,Rhyncomyia_cupraea,2.0,2,150,1.5539041315274793,0.8161962413315452,Especialista,True
3309,Xylocopa_cantabrita,3.0,4,150,1.5539041315274793,0.8161962413315452,Especialista,True
3310,Attagenus_sp,0.0,3,150,1.5539041315274793,0.8161962413315452,Especialista,True
3311,Chalicodoma_sicula,0.0,1,150,1.5539041315274793,0.8161962413315452,Especialista,True
3312,Diptera_sp7,0.0,1,150,1.5539041315274793,0.8161962413315452,Especialista,True
3313,Halictus_sp2,0.0,1,150,1.5539041315274793,0.8161962413315452,Especialista,True
3314,Lasioglossum_sp3,0.0,1,150,1.5539041315274793,0.8161962413315452,Especialista,True
3315,Lobonyx_aeneus,0.0,2,150,1.5539041315274793,0.8161962413315452,Especialista,True
3316,Malachius_sp,0.0,1,150,1.5539041315274793,0.8161962413315452,Especialista,True
3317,Osmia_sp,0.0,1,150,1.5539041315274793,0.8161962413315452,Especialista,True
3318,Sphaerophoria_scripta,0.0,1,150,1.5539041315274793,0.8161962413315452,Especialista,True
3319,Syrphidae_sp2,0.0,3,150,1.5539041315274793,0.8161962413315452,Especialista,True
3320,Thyreus_sp,0.0,1,150,1.5539041315274793,0.8161962413315452,Especialista,True
3321,Vespidae,0.0,1,150,1.5539041315274793,0.8161962413315452,Especialista,True
3718,Anthophora_sp,10.0,4,169,1.8917410180611072,0.8870258262721558,Especialista,True
3719,Apis_mellifera,26.0,20,169,1.8917410180611072,0.8870258262721558,Generalista,True
3720,Attagenus_sp,4.0,3,169,1.8917410180611072,0.8870258262721558,Especialista,True
3721,Bombylius_sp,7.0,4,169,1.8917410180611072,0.8870258262721558,Especialista,True
3722,Chalicodoma_sicula,3.0,1,169,1.8917410180611072,0.8870258262721558,Especialista,True
3723,Colletes_sp,5.0,3,169,1.8917410180611072,0.8870258262721558,Especialista,True
3724,Eristalis_sp,5.0,5,169,1.8917410180611072,0.8870258262721558,Especialista,True
3725,Halictus_sp2,0.0,1,169,1.8917410180611072,0.8870258262721558,Especialista,True
3726,Lasioglossum_sp1,16.0,16,169,1.8917410180611072,0.8870258262721558,Generalista,True
3727,Lasioglossum_sp2,23.0,16,169,1.8917410180611072,0.8870258262721558,Especialista,True
3728,Lobonyx_aeneus,4.0,2,169,1.8917410180611072,0.8870258262721558,Especialista,True
3729,Rhyncomyia_cupraea,5.0,2,169,1.8917410180611072,0.8870258262721558,Especialista,True
3730,Syrphidae_sp2,9.0,3,169,1.8917410180611072,0.8870258262721558,Especialista,True
3731,Xylocopa_cantabrita,1.0,4,169,1.8917410180611072,0.8870258262721558,Especialista,True
3732,Chrysolina_americana,0.0,1,169,1.8917410180611072,0.8870258262721558,Especialista,True
3733,Diptera_sp7,0.0,1,169,1.8917410180611072,0.8870258262721558,Especialista,True
3734,Lasioglossum_sp3,0.0,1,169,1.8917410180611072,0.8870258262721558,Especialista,True
3735,Malachius_sp,0.0,1,169,1.8917410180611072,0.8870258262721558,Especialista,True
3736,Osmia_sp,0.0,1,169,1.8917410180611072,0.8870258262721558,Especialista,True
3737,Sphaerophoria_scripta,0.0,1,169,1.8917410180611072,0.8870258262721558,Especialista,True
3738,Thyreus_sp,0.0,1,169,1.8917410180611072,0.8870258262721558,Especialista,True
3739,Vespidae,0.0,1,169,1.8917410180611072,0.8870258262721558,Especialista,True
6688,Anthophora_sp,16.0,4,304,2.7493603887925175,0.8017955534180615,Especialista,True
6689,Apis_mellifera,19.0,20,304,2.7493603887925175,0.8017955534180615,Generalista,True
