,Unnamed: 0,Model,Real,iteration,r_esp,r_gen,Tipo,Within_Cuartile_Threshold
528,Anthophora_sp,13.0,4,24,2.74076239332913,0.9067824354608052,Especialista,True
529,Apis_mellifera,22.0,20,24,2.74076239332913,0.9067824354608052,Generalista,True
530,Bombylius_sp,17.0,4,24,2.74076239332913,0.9067824354608052,Especialista,True
531,Eristalis_sp,6.0,5,24,2.74076239332913,0.9067824354608052,Especialista,True
532,Lasioglossum_sp1,20.0,16,24,2.74076239332913,0.9067824354608052,Generalista,True
533,Lasioglossum_sp2,28.0,16,24,2.74076239332913,0.9067824354608052,Especialista,True
534,Rhyncomyia_cupraea,2.0,2,24,2.74076239332913,0.9067824354608052,Especialista,True
535,Attagenus_sp,0.0,3,24,2.74076239332913,0.9067824354608052,Especialista,True
536,Chalicodoma_sicula,0.0,1,24,2.74076239332913,0.9067824354608052,Especialista,True
537,Chrysolina_americana,0.0,1,24,2.74076239332913,0.9067824354608052,Especialista,True
538,Colletes_sp,0.0,3,24,2.74076239332913,0.9067824354608052,Especialista,True
539,Diptera_sp7,0.0,1,24,2.74076239332913,0.9067824354608052,Especialista,True
540,Halictus_sp2,0.0,1,24,2.74076239332913,0.9067824354608052,Especialista,True
541,Lasioglossum_sp3,0.0,1,24,2.74076239332913,0.9067824354608052,Especialista,True
542,Lobonyx_aeneus,0.0,2,24,2.74076239332913,0.9067824354608052,Especialista,True
543,Malachius_sp,0.0,1,24,2.74076239332913,0.9067824354608052,Especialista,True
544,Osmia_sp,0.0,1,24,2.74076239332913,0.9067824354608052,Especialista,True
545,Sphaerophoria_scripta,0.0,1,24,2.74076239332913,0.9067824354608052,Especialista,True
546,Syrphidae_sp2,0.0,3,24,2.74076239332913,0.9067824354608052,Especialista,True
547,Thyreus_sp,0.0,1,24,2.74076239332913,0.9067824354608052,Especialista,True
548,Vespidae,0.0,1,24,2.74076239332913,0.9067824354608052,Especialista,True
549,Xylocopa_cantabrita,0.0,4,24,2.74076239332913,0.9067824354608052,Especialista,True
1386,Anthophora_sp,23.0,4,63,2.787987203044943,1.1204945591521835,Especialista,True
1387,Apis_mellifera,31.0,20,63,2.787987203044943,1.1204945591521835,Generalista,True
1388,Attagenus_sp,5.0,3,63,2.787987203044943,1.1204945591521835,Especialista,True
1389,Bombylius_sp,14.0,4,63,2.787987203044943,1.1204945591521835,Especialista,True
1390,Colletes_sp,5.0,3,63,2.787987203044943,1.1204945591521835,Especialista,True
1391,Eristalis_sp,6.0,5,63,2.787987203044943,1.1204945591521835,Especialista,True
1392,Lasioglossum_sp1,16.0,16,63,2.787987203044943,1.1204945591521835,Generalista,True
1393,Lasioglossum_sp2,28.0,16,63,2.787987203044943,1.1204945591521835,Especialista,True
1394,Lobonyx_aeneus,3.0,2,63,2.787987203044943,1.1204945591521835,Especialista,True
1395,Rhyncomyia_cupraea,4.0,2,63,2.787987203044943,1.1204945591521835,Especialista,True
1396,Xylocopa_cantabrita,9.0,4,63,2.787987203044943,1.1204945591521835,Especialista,True
1397,Chalicodoma_sicula,0.0,1,63,2.787987203044943,1.1204945591521835,Especialista,True
1398,Chrysolina_americana,0.0,1,63,2.787987203044943,1.1204945591521835,Especialista,True
1399,Diptera_sp7,0.0,1,63,2.787987203044943,1.1204945591521835,Especialista,True
1400,Halictus_sp2,0.0,1,63,2.787987203044943,1.1204945591521835,Especialista,True
1401,Lasioglossum_sp3,0.0,1,63,2.787987203044943,1.1204945591521835,Especialista,True
1402,Malachius_sp,0.0,1,63,2.787987203044943,1.1204945591521835,Especialista,True
1403,Osmia_sp,0.0,1,63,2.787987203044943,1.1204945591521835,Especialista,True
1404,Sphaerophoria_scripta,0.0,1,63,2.787987203044943,1.1204945591521835,Especialista,True
1405,Syrphidae_sp2,0.0,3,63,2.787987203044943,1.1204945591521835,Especialista,True
1406,Thyreus_sp,0.0,1,63,2.787987203044943,1.1204945591521835,Especialista,True
1407,Vespidae,0.0,1,63,2.787987203044943,1.1204945591521835,Especialista,True
3278,Anthophora_sp,28.0,4,149,2.761425909427878,0.8163717043214012,Especialista,True
3279,Apis_mellifera,13.0,20,149,2.761425909427878,0.8163717043214012,Generalista,True
3280,Attagenus_sp,6.0,3,149,2.761425909427878,0.8163717043214012,Especialista,True
3281,Chalicodoma_sicula,5.0,1,149,2.761425909427878,0.8163717043214012,Especialista,True
3282,Chrysolina_americana,6.0,1,149,2.761425909427878,0.8163717043214012,Especialista,True
3283,Colletes_sp,4.0,3,149,2.761425909427878,0.8163717043214012,Especialista,True
3284,Eristalis_sp,8.0,5,149,2.761425909427878,0.8163717043214012,Especialista,True
3285,Halictus_sp2,7.0,1,149,2.761425909427878,0.8163717043214012,Especialista,True
3286,Lasioglossum_sp1,14.0,16,149,2.761425909427878,0.8163717043214012,Generalista,True
3287,Lasioglossum_sp2,29.0,16,149,2.761425909427878,0.8163717043214012,Especialista,True
3288,Lasioglossum_sp3,5.0,1,149,2.761425909427878,0.8163717043214012,Especialista,True
3289,Osmia_sp,3.0,1,149,2.761425909427878,0.8163717043214012,Especialista,True
3290,Rhyncomyia_cupraea,9.0,2,149,2.761425909427878,0.8163717043214012,Especialista,True
3291,Syrphidae_sp2,3.0,3,149,2.761425909427878,0.8163717043214012,Especialista,True
3292,Xylocopa_cantabrita,3.0,4,149,2.761425909427878,0.8163717043214012,Especialista,True
3293,Bombylius_sp,0.0,4,149,2.761425909427878,0.8163717043214012,Especialista,True
