"Plant_id";"Acmaeodera_sp";"Anthrenus_sp";"Apis_mellifera";"Attagenus_sp";"Bombus_terrestris";"Bombylius_sp";"Cantharidae_sp";"Chasmatopterus_sp";"Coleoptera_sp1";"Diptera_sp3";"Diptera_sp4";"Diptera_sp9";"Episyrphus_balteatus";"Eristalis_sp";"Eucera_sp";"Eupeodes_sp";"Halictidae_sp1";"Heliotaurus_ruficollis";"Lasioglossum_sp2";"Lasioglossum_sp3";"Lobonyx_aeneus";"Malachius_sp";"Metasyrphus_corollae";"Nitidulidae_sp1";"Nustera_distigma";"Oedemera_sp";"Phthiria_sp";"Phthiria_sp1";"Rhyncomyia_cupraea";"Syrphidae_sp2";"Syrphidae_sp3";"Xylocopa_cantabrita"
"136";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0332225913621262;0;0;0;0;0;0;0;0;0;0;0
"138";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0720752513762204;0.121751911402396;0;0;0;0;0;0;0;0;0;0
"139";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0299441005858467;0;0;0;0;0;0;0.0299441005858467;0
"142";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.032626427406199;0;0;0;0;0;0;0;0;0;0;0;0;0
"143";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0219685586435239;0;0;0.0109842793217619;0;0;0;0;0;0;0;0
"146";0;0;0;0;0;0;0.0325027085590466;0;0;0;0;0;0;0;0;0;0;0;0;0;0.145315596757841;0;0;0;0;0;0;0;0;0;0;0.0459142875649649
"147";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0335758254057079;0;0.100727476217124;0;0;0;0;0;0;0;0;0;0;0
"148";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.148140781223111;0;0;0.00703128446630396;0;0;0;0;0;0;0;0
"149";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.133333333333333;0;0;0;0;0;0;0;0;0;0;0;0;0
"291";0;0;0.348284960422164;0;0;0;0;0;0;0;0;0;0;3.79947229551451;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.61463939720129;0;0;0.864982129915316
"292";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.161870503597122;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"293";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.158061116965227;0;0;0.221285563751317
"294";0;0;0;0;0;0;0;0;0;0.157830196578352;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.988554360146436;0;0;0.871858386844763
"297";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.316546762589928;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.21722030855718
"298";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.385489561664855;0;0;0;0;0;0;0
