"Plant_id";"Anthrenus_sp";"Apis_mellifera";"Attagenus_sp";"Bombus_terrestris";"Bombylius_sp";"Cardiophorus_sp";"Ceratina_sp";"Chasmatopterus_sp";"Chrysolina_americana";"Colletes_sp";"Dasypoda_sp";"Diodontus_insidiosus";"Eristalis_sp";"Eucera_sp";"Halictidae_sp1";"Heliotaurus_ruficollis";"Lasioglossum_sp1";"Lasioglossum_sp2";"Lasioglossum_sp3";"Lasioglossum_sp6";"Lindenius_luteiventris";"Lobonyx_aeneus";"Malachius_sp";"Metasyrphus_corollae";"Mordellidae_sp1";"Nitidulidae_sp1";"Nustera_distigma";"Oedemera_sp";"Phthiria_sp";"Phthiria_sp1";"Rhyncomyia_cupraea";"Syritta_pipiens";"Tiphia_morio";"Xylocopa_cantabrita"
"181";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0413157588558551;0;0;0;0;0;0;0;0;0;0;0;0
"183";0;0;0;0;0;0;0;0;0;0.0618238021638331;0;0;0;0;0;0;0;0.432766615146832;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"184";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.131428319323358;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"185";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.445081719188082;0;0;0;0.031937081595576;0;0;0;0;0;0;0;0;0;0;0;0
"186";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.738840430990251;0;0;0;0.0325080453177481;0;0;0;0;0;0;0;0;0;0;0;0.153925089789636
"187";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0448386831968939;0;0;0;0;0;0;0;0
"188";0;0;0;0;0;0;0;0;0;0;0;0;0;0.0317460317460317;0;0;0;0.04831631103718;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"189";0;0.584615384615385;0;0;0;0;0;0;0;0.523076923076923;0;0;0;0;0;0;0;1.51390606363269;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"191";0;0;0;0.0338675308542694;0;0;0;0;0;0;0;0;0;0;0;0;0;0.192822710230316;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"193";0;0;0;0;0;0;0;0;0;0;0.212873796249366;0;0;0;0;0;0;0.456158134820071;0;0.0608210846426761;0;0.182463253928028;0;0.0608210846426761;0;0;0;0;0;0;0;0;0;0
"195";0;0;0;0;0;0;0;0;0;0.24653312788906;0;0;0;0;0;0;0;0.0924499229583975;0;0;0;0.0924499229583975;0;0;0;0;0;0;0;0;0;0;0;0
