"Plant_id";"Andrena_sp";"Anthidiellum_strigatum";"Anthrenus_sp";"Apis_mellifera";"Attagenus_sp";"Bombus_terrestris";"Bombylius_sp";"Ceratina_sp";"Chalicodoma_sicula";"Chasmatopterus_sp";"Dasypoda_sp";"Diodontus_insidiosus";"Diptera_sp10";"Diptera_sp6";"Diptera_sp7";"Episyrphus_sp";"Halictidae_sp1";"Halictus_sp";"Heliotaurus_ruficollis";"Lasioglossum_sp1";"Lasioglossum_sp2";"Lasioglossum_sp6";"Lindenius_luteiventris";"Lobonyx_aeneus";"Microlepidoptera";"Mordellidae_sp1";"Nitidulidae_sp1";"Nomada_sp";"Nustera_distigma";"Oedemera_sp";"Phthiria_sp";"Phthiria_sp1";"Plebejus_argus";"Pyronia_cecilia";"Rhyncomyia_cupraea";"Sphaerophoria_scripta";"Syrphidae_sp2";"Syrphidae_sp3";"Syrphidae_sp4";"Usia_sp";"Xylocopa_cantabrita"
"102";0;0;0;4.66416897299423;0;0;0;0;0;0;0;0;0;0;0;0;0.0998321526146074;0;0;0.0275355667737494;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0181200682988367;0;0;0;0
"197";0;0;0;0;0.120066336494534;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.120066336494534;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"199";0;0;0;0;0.0901319895876776;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"201";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.873373620594418;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"203";0;0;0;0;0;0.279984478293637;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"205";0.091324200913242;0;0;0;0;0;0;0;0;0;0.0820403396496317;0;0;0;0;0;0;0;0;0;0;0;0;0.091324200913242;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"210";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.256606526932862;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"336";0;0;0;0;0;0;0;0.0800846579026905;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.119660931076588
"337";0;0;0;0;0;0.0655615334125653;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"340";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.443076923076923
"342";0;0;0;0;0;0;0;0;0.202939425909991;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.224186882728469
"346";0;0;0;0.139520855313119;0;0.719476744186047;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.947719104630802
"347";0;0;0;0;0;0;0.594679186228482;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.275073390187502
"348";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.263620386643234;0;0;0.310666206420435;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
