"Plant_id";"Acmaeodera_sp";"Andrena_sp";"Anthrenus_sp";"Attagenus_sp";"Bembix_flavescens";"Bombylius_sp";"Buprestidae_sp1";"Ceratina_sp";"Chasmatopterus_sp";"Coptocephala_sp";"Curculionidae";"Diptera_sp12";"Diptera_sp13";"Diptera_sp4";"Halictidae_sp1";"Heliotaurus_ruficollis";"Laeosopis_roboris";"Lasioglossum_sp3";"Lasioglossum_sp4";"Lasioglossum_sp5";"Lycaena_phlaeas";"Megachile_apicalis";"Meria_tripunctata";"Microlepidoptera";"Mordellidae_sp1";"Mordellidae_sp2";"Mylabris_sp1";"Oedemera_sp";"Paragus_tibialis";"Phthiria_sp";"Phthiria_sp1";"Phthiria_sp2";"Plebejus_argus";"Pyronia_cecilia";"Rhyncomyia_cupraea";"Scymnus_sp";"Tituboea_sp";"Tychius_sp";"Xylocopa_cantabrita"
"535";0.084024781934228;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"537";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00232253115192559;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"539";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00321885980544058;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"540";0;0;0;0;0;0;0.00849175452422792;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"541";0;0;0;0;0;0;0;0;0.229895215545934;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"542";0;0;0;0;0;0;0;0;0;0.00754822624375815;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"545";0;0;0;0;0;0;0.00566116968281861;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"546";0;0;0;0;0;0;0;0;2.72676554358823;0.0226446787312744;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0321792803023374;0;0;0;0;0;0;0;0;0;0;0;0
"548";0.00603375399181307;0;0;0;0;0;0.00603375399181307;0;3.5339870093874;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0392156862745098;0;0.0048647652287707;0;0;0.0784313725490196;0;0;0;0
"549";0;0;0;0;0;0;0;0;0.516897422176252;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0108901419947496;0;0;0;0.0385769654706549;0;0;0;0;0;0;0
"550";0;0;0;0;0;0;0;0;0.368093561435876;0;0;0;0;0.0530738611233967;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0064239224845917;0;0.0117196078100164;0;0;0;0;0;0;0;0
"551";0;0;0;0;0;0;0;0;0.281339670858031;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"552";0;0;0;0;0;0;0;0;2.29407240973082;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"553";0;0;0;0;0;0;0;0;0.102509401349868;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"554";0;0;0;0;0;0;0;0;0.735444840132715;0;0.00754822624375815;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0150964524875163;0;0.0285035629453682;0;0.0420474926264184;0;0;0;0;0;0;0
"555";0.0382511465055312;0;0;0;0;0;0.277824116724384;0;0.897144330027411;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0865683841967284;0;0;0;0;0;0;0;0;0;0.0593899044426505;0;0
"556";0;0;0;0;0;0;0;0;0.239523299175814;0;0;0;0;0;0;0.0484496628217616;0;0;0;0;0;0;0;0;0;0;0.00627450228076322;0;0;0.0612870275791624;0.0073064886596112;0;0;0;0;0;0;0;0
