especie,real_value,model_mean,model_std,model_min,model_max,abs_error,z_score,model_range,z_range,metric,plot
Andrena_sp,1.0,9.9876,8.060294230008468,0.0,35.0,8.9876,1.1150461439160835,35.0,0.2567885714285714,MAE,MAE_B1_1XY
Anthophora_sp,1.0,2.2468,4.697030548080034,0.0,28.0,1.2468,0.26544430299897537,28.0,0.044528571428571424,MAE,MAE_B1_1XY
Apis_mellifera,21.0,38.7889,9.723856854623724,0.0,43.0,17.788899999999998,1.8294078436110792,43.0,0.41369534883720926,MAE,MAE_B1_1XY
Bombylius_sp,10.0,35.3126,3.963313263571602,0.0,43.0,25.312600000000003,6.386727042915894,43.0,0.5886651162790698,MAE,MAE_B1_1XY
Cantharidae_sp,1.0,0.9169,3.0993475096378837,0.0,27.0,0.08309999999999995,0.026812095043097974,27.0,0.003077777777777776,MAE,MAE_B1_1XY
Chalicodoma_sicula,1.0,1.3352,3.7288109851716045,0.0,27.0,0.33519999999999994,0.08989460751241957,27.0,0.012414814814814813,MAE,MAE_B1_1XY
Chrysolina_americana,2.0,0.5901,2.5393949757145475,0.0,26.0,1.4099,0.5552109906034902,26.0,0.054226923076923075,MAE,MAE_B1_1XY
Episyrphus_sp,1.0,5.1105,6.592710833459432,0.0,31.0,4.1105,0.6234916264093253,31.0,0.1325967741935484,MAE,MAE_B1_1XY
Eristalis_sp,9.0,32.7364,4.817679528943825,0.0,43.0,23.736400000000003,4.9269362682585305,43.0,0.5520093023255814,MAE,MAE_B1_1XY
Eucera_sp,6.0,21.6075,8.16070483845274,0.0,41.0,15.607500000000002,1.9125186254082394,41.0,0.38067073170731713,MAE,MAE_B1_1XY
Halictus_sp2,1.0,4.3394,6.188217598283391,0.0,30.0,3.3394000000000004,0.5396384252755347,30.0,0.11131333333333335,MAE,MAE_B1_1XY
Halictus_sp3,1.0,9.359,7.944698283955286,0.0,34.0,8.359,1.052148200125034,34.0,0.24585294117647058,MAE,MAE_B1_1XY
Hymenoptera_sp1,1.0,4.6449,6.3426987136941335,0.0,31.0,3.6449,0.5746607500259343,31.0,0.1175774193548387,MAE,MAE_B1_1XY
Lasioglossum_sp1,20.0,38.9552,9.714135545839369,0.0,43.0,18.955199999999998,1.9513007524502415,43.0,0.44081860465116274,MAE,MAE_B1_1XY
Lasioglossum_sp2,22.0,39.9945,9.385770027967975,0.0,43.0,17.994500000000002,1.9172108358056394,43.0,0.4184767441860466,MAE,MAE_B1_1XY
Lasioglossum_sp6,4.0,18.8281,8.44084564350739,0.0,39.0,14.8281,1.7567078733877353,39.0,0.3802076923076923,MAE,MAE_B1_1XY
Lobonyx_aeneus,5.0,12.0479,8.875893405081769,0.0,38.0,7.0479,0.7940496441704475,38.0,0.18547105263157895,MAE,MAE_B1_1XY
Malachius_sp,4.0,6.6845,7.517353976704933,0.0,34.0,2.6845,0.3571070363746116,34.0,0.07895588235294117,MAE,MAE_B1_1XY
Malthodes_sp,1.0,3.392,5.61552218488547,0.0,29.0,2.392,0.425962167229651,29.0,0.08248275862068966,MAE,MAE_B1_1XY
Nomada_sp,1.0,1.3507,3.733644803720894,0.0,26.0,0.3507,0.09392966348874368,26.0,0.01348846153846154,MAE,MAE_B1_1XY
Paragus_tibialis,1.0,2.343,4.810516095650303,0.0,25.0,1.343,0.27918002420038646,25.0,0.05372,MAE,MAE_B1_1XY
Rhyncomyia_cupraea,1.0,1.9656,4.455872767507169,0.0,28.0,0.9656,0.21670277639911234,28.0,0.034485714285714286,MAE,MAE_B1_1XY
Syrphidae_sp1,1.0,0.6279,2.6023679259248063,0.0,20.0,0.3721,0.14298516220290658,20.0,0.018605,MAE,MAE_B1_1XY
Syrphidae_sp2,2.0,8.6065,7.837946229090181,0.0,36.0,6.6065000000000005,0.8428866193902015,36.0,0.1835138888888889,MAE,MAE_B1_1XY
Syrphidae_sp3,2.0,15.8141,8.379580116347869,0.0,38.0,13.8141,1.6485432215213065,38.0,0.36352894736842106,MAE,MAE_B1_1XY
Xylocopa_cantabrita,5.0,16.4043,8.810153426038557,0.0,38.0,11.4043,1.2944496478681515,38.0,0.3001131578947368,MAE,MAE_B1_1XY
Andrena_sp,1.0,11.9854,8.050134614199374,0.0,35.0,10.9854,1.3646231431488371,35.0,0.31386857142857144,RMAE,RMAE_B1_1XY
Anthophora_sp,1.0,2.798,5.188572841236103,0.0,28.0,1.798,0.3465307426563279,28.0,0.06421428571428571,RMAE,RMAE_B1_1XY
Apis_mellifera,21.0,33.2181,12.650878896886411,0.0,43.0,12.2181,0.9657906062959052,43.0,0.28414186046511625,RMAE,RMAE_B1_1XY
Bombylius_sp,10.0,34.451,4.472225293956916,0.0,43.0,24.451,5.4673005926242935,43.0,0.5686279069767441,RMAE,RMAE_B1_1XY
