especie,real_value,model_mean,model_std,model_min,model_max,abs_error,z_score,model_range,z_range,metric,plot
Andrena_sp,1.0,10.5283,8.508092493255308,0.0,37.0,9.5283,1.1199102510408119,37.0,0.2575216216216216,MAE,MAE_B1_1regular
Anthophora_sp,1.0,2.3065,4.869797659341118,0.0,34.0,1.3065000000000002,0.2682863008679439,34.0,0.0384264705882353,MAE,MAE_B1_1regular
Apis_mellifera,21.0,38.3096,10.888223141556123,0.0,43.0,17.309600000000003,1.5897543405347725,43.0,0.4025488372093024,MAE,MAE_B1_1regular
Bombylius_sp,10.0,37.344,3.7823398326249063,13.0,43.0,27.344,7.22938741890454,30.0,0.9114666666666668,MAE,MAE_B1_1regular
Cantharidae_sp,1.0,1.044,3.385647687079402,0.0,24.0,0.04400000000000004,0.012996036229025424,24.0,0.001833333333333335,MAE,MAE_B1_1regular
Chalicodoma_sicula,1.0,1.3239,3.7896206818745446,0.0,28.0,0.3239000000000001,0.08547029562858048,28.0,0.011567857142857145,MAE,MAE_B1_1regular
Chrysolina_americana,2.0,0.5556,2.4636792834216754,0.0,21.0,1.4444,0.5862776091512806,21.0,0.06878095238095237,MAE,MAE_B1_1regular
Episyrphus_sp,1.0,5.5129,7.006007565240011,0.0,33.0,4.5129,0.6441471776865542,33.0,0.13675454545454546,MAE,MAE_B1_1regular
Eristalis_sp,9.0,34.6495,4.998554621571161,0.0,43.0,25.649500000000003,5.131383358163199,43.0,0.5965,MAE,MAE_B1_1regular
Eucera_sp,6.0,23.1156,8.70367807545775,0.0,42.0,17.1156,1.9664789818297415,42.0,0.4075142857142857,MAE,MAE_B1_1regular
Halictus_sp2,1.0,4.4423,6.404152717354791,0.0,34.0,3.4423000000000004,0.5375106047473878,34.0,0.10124411764705883,MAE,MAE_B1_1regular
Halictus_sp3,1.0,9.7251,8.391803872066067,0.0,38.0,8.7251,1.03971686338421,38.0,0.2296078947368421,MAE,MAE_B1_1regular
Hymenoptera_sp1,1.0,4.9041,6.706951730119353,0.0,32.0,3.9040999999999997,0.5820975246426181,32.0,0.12200312499999999,MAE,MAE_B1_1regular
Lasioglossum_sp1,20.0,38.3983,10.85799459912701,0.0,43.0,18.3983,1.6944473339007953,43.0,0.4278674418604651,MAE,MAE_B1_1regular
Lasioglossum_sp2,22.0,39.3311,10.501099947148882,0.0,43.0,17.3311,1.6504080607960985,43.0,0.4030488372093023,MAE,MAE_B1_1regular
Lasioglossum_sp6,4.0,20.2088,8.979402292277173,0.0,41.0,16.2088,1.8051090119818491,41.0,0.39533658536585364,MAE,MAE_B1_1regular
Lobonyx_aeneus,5.0,12.9434,9.505221268499565,0.0,38.0,7.9434000000000005,0.8356880682330393,38.0,0.20903684210526316,MAE,MAE_B1_1regular
Malachius_sp,4.0,7.2014,8.013417468593074,0.0,38.0,3.2013999999999996,0.3995049568485883,38.0,0.08424736842105263,MAE,MAE_B1_1regular
Malthodes_sp,1.0,3.4263,5.812912119130164,0.0,32.0,2.4263,0.41739836252041396,32.0,0.075821875,MAE,MAE_B1_1regular
Nomada_sp,1.0,1.351,3.820059984585136,0.0,27.0,0.351,0.09188337393034918,27.0,0.013,MAE,MAE_B1_1regular
Paragus_tibialis,1.0,2.3224,4.864897220136952,0.0,33.0,1.3224,0.271824858812284,33.0,0.040072727272727274,MAE,MAE_B1_1regular
Rhyncomyia_cupraea,1.0,1.9933,4.566370581110159,0.0,26.0,0.9933000000000001,0.21752505241449605,26.0,0.03820384615384616,MAE,MAE_B1_1regular
Syrphidae_sp1,1.0,0.6614,2.7104399437118842,0.0,24.0,0.3386,0.12492436911783968,24.0,0.014108333333333334,MAE,MAE_B1_1regular
