especie,real_value,model_mean,model_std,model_min,model_max,abs_error,z_score,model_range,z_range,metric,plot
Acmaeodera_sp,1,10.4802,6.2702104840229556,0,32,9.4802,1.5119428644630637,32,0.29625625,MAE,MAE_B3_model2.csv
Anthrenus_sp,13,35.1611,3.908564247578359,14,44,22.161099999999998,5.669882492971791,30,0.7387033333333333,MAE,MAE_B3_model2.csv
Attagenus_sp,8,19.4465,6.837105553612215,0,40,11.4465,1.6741733633105205,40,0.2861625,MAE,MAE_B3_model2.csv
Bombylius_sp,2,0.9769,2.4597096184592084,0,22,1.0231,0.41594340743395636,22,0.046504545,MAE,MAE_B3_model2.csv
Buprestidae_sp1,2,2.2615,3.673045994360494,0,24,0.26149999999999984,0.071194317,24,0.010895833333333327,MAE,MAE_B3_model2.csv
Ceratina_sp,3,14.9447,6.734224297,0,39,11.9447,1.7737306440197123,39,0.30627435897435895,MAE,MAE_B3_model2.csv
Chasmatopterus_sp,15,43.8954,0.3197953516026931,42,44,28.895400000000002,90.35590997551155,2,14.447700000000001,MAE,MAE_B3_model2.csv
Coptocephala_sp,6,4.7013,5.1997098,0,28,1.2987000000000002,0.2497639387306385,28,0.046382142857142865,MAE,MAE_B3_model2.csv
Curculionidae,6,32.7482,4.495221625431403,10,44,26.748199999999997,5.9503629028375205,34,0.7867117647058822,MAE,MAE_B3_model2.csv
Diptera_sp3,1,0.138,0.9213256124131184,0,13,0.862,0.9356084194189133,13,0.066307692,MAE,MAE_B3_model2.csv
Exochomus_nigromaculatus,1,0,0,0,0,1,,0,,MAE,MAE_B3_model2.csv
Exoprosopa_italica,1,0.1326,0.9179877505451878,0,14,0.8674,0.9448927825941642,14,0.061957142857142856,MAE,MAE_B3_model2.csv
Halictidae_sp1,2,0.2536,1.2898268896795964,0,17,1.7464,1.353980145687473,17,0.10272941176470587,MAE,MAE_B3_model2.csv
Halictidae_sp3,3,17.7652,6.667931845145773,0,37,14.7652,2.2143597659518677,37,0.3990594594594595,MAE,MAE_B3_model2.csv
Halictidae_sp4,1,0.5839,1.9387977418153644,0,18,0.4161,0.21461753901693273,18,0.023116666666666667,MAE,MAE_B3_model2.csv
Heliotaurus_ruficollis,2,1.7127,3.2054931334543273,0,19,0.2873000000000001,0.089627395,19,0.015121052631578953,MAE,MAE_B3_model2.csv
Hyperaspis_sp,1,4.6501,4.9112811015259314,0,27,3.6501,0.7432073067179797,27,0.1351888888888889,MAE,MAE_B3_model2.csv
Laeosopis_roboris,1,0.1423,0.9797687,0,14,0.8577,0.8754106968006338,14,0.061264285714285716,MAE,MAE_B3_model2.csv
Lasioglossum_sp3,6,20.9884,6.525160781,0,39,14.988399999999999,2.297016196846111,39,0.38431794871794867,MAE,MAE_B3_model2.csv
Lasioglossum_sp4,1,0.2541,1.2561413053864234,0,14,0.7459,0.5938026214101293,14,0.053278571,MAE,MAE_B3_model2.csv
Lasioglossum_sp5,7,17.4039,6.878989521701861,0,38,10.4039,1.5124168989032094,38,0.27378684210526316,MAE,MAE_B3_model2.csv
Lomatia_sp,1,0.1374,0.9428733430392983,0,14,0.8626,0.9148630686911333,14,0.061614286,MAE,MAE_B3_model2.csv
Lycaena_phlaeas,1,2.5121,3.824410569175348,0,22,1.5121000000000002,0.3953811895060347,22,0.068731818,MAE,MAE_B3_model2.csv
Malachius_sp,1,0,0,0,0,1,,0,,MAE,MAE_B3_model2.csv
Microlepidoptera,4,11.3264,6.562146692731101,0,36,7.3264,1.1164639169245427,36,0.2035111111111111,MAE,MAE_B3_model2.csv
Mordellidae_sp1,12,37.8421,3.0650786385843447,23,44,25.842100000000002,8.431137679369815,21,1.2305761904761905,MAE,MAE_B3_model2.csv
Mordellidae_sp2,4,15.4862,6.795235616423328,0,37,11.4862,1.6903313804511992,37,0.31043783783783785,MAE,MAE_B3_model2.csv
Mylabris_sp1,1,0,0,0,0,1,,0,,MAE,MAE_B3_model2.csv
Oedemera_sp,10,28.8049,5.363199826711496,0,42,18.8049,3.5062836753428273,42,0.4477357142857143,MAE,MAE_B3_model2.csv
Paragus_tibialis,1,1.4062,2.9357900889444832,0,21,0.4061999999999999,0.1383613908670298,21,0.019342857142857137,MAE,MAE_B3_model2.csv
Phthiria_sp1,3,21.0561,6.428941275092799,0,38,18.0561,2.8085650851958306,38,0.4751605263157895,MAE,MAE_B3_model2.csv
Phthiria_sp2,10,24.3716,6.155769877950193,0,42,14.3716,2.334655174729435,42,0.3421809523809524,MAE,MAE_B3_model2.csv
Plebejus_argus,11,32.0276,4.663969714883463,8,43,21.0276,4.508519841562781,35,0.6007885714285714,MAE,MAE_B3_model2.csv
Pyronia_cecilia,2,18.5815,6.671777050449248,0,38,16.5815,2.4853198592545107,38,0.4363552631578947,MAE,MAE_B3_model2.csv
Rhyzobius_lophanthae,2,4.0987,4.751001527209938,0,26,2.0987,0.44173843935438123,26,0.080719231,MAE,MAE_B3_model2.csv
Syrphidae_sp6,1,0.1375,0.9507282147984484,0,16,0.8625,0.9071993305498434,16,0.05390625,MAE,MAE_B3_model2.csv
Syrphidae_sp7,1,1.0803,2.6067472879322895,0,21,0.0803,0.030804673844580917,21,0.00382381,MAE,MAE_B3_model2.csv
Tychius_sp,4,11.5968,6.727150601519305,0,35,7.5968,1.1292745547103238,35,0.21705142857142856,MAE,MAE_B3_model2.csv
Usia_sp,3,2.3437,3.7189183031271944,0,24,0.6562999999999999,0.17647604666338731,24,0.027345833,MAE,MAE_B3_model2.csv
Xylocopa_cantabrita,4,16.335,6.762125970045484,0,39,12.335,1.8241304664599485,39,0.3162820512820513,MAE,MAE_B3_model2.csv
Acmaeodera_sp,1,12.6741,5.9490022905379165,0,32,11.6741,1.962362666857271,32,0.364815625,RMAE,RMAE_B3_model2.csv
