especie,real_value,model_mean,model_std,model_min,model_max,abs_error,z_score,model_range,z_range,metric,plot
Acmaeodera_sp,1.0,13.9916,7.14413278875262,0.0,22.0,12.9916,1.8184992334483694,22.0,0.5905272727272727,MAE,MAE_E3_randomproof.csv
Anthrenus_sp,2.0,13.6702,7.33131685174484,0.0,22.0,11.6702,1.591828621787437,22.0,0.5304636363636364,MAE,MAE_E3_randomproof.csv
Attagenus_sp,5.0,13.21,7.651532826529564,0.0,22.0,8.21,1.0729876204064768,22.0,0.3731818181818182,MAE,MAE_E3_randomproof.csv
Bembix_flavescens,1.0,13.9945,7.181742650133689,0.0,22.0,12.9945,1.8093797888675538,22.0,0.590659090909091,MAE,MAE_E3_randomproof.csv
Bombylius_sp,3.0,13.5435,7.458690968065093,0.0,22.0,10.5435,1.4135858483938715,22.0,0.47925,MAE,MAE_E3_randomproof.csv
Buprestidae_sp1,4.0,13.5308,7.547353682898503,0.0,22.0,9.5308,1.2628002344180282,22.0,0.4332181818181818,MAE,MAE_E3_randomproof.csv
Buprestidae_sp2,1.0,14.1461,7.113804566583283,0.0,22.0,13.1461,1.8479703619850765,22.0,0.59755,MAE,MAE_E3_randomproof.csv
Ceratina_sp,1.0,14.0455,7.174020937217898,0.0,22.0,13.0455,1.8184362875666595,22.0,0.5929772727272727,MAE,MAE_E3_randomproof.csv
Chasmatopterus_sp,11.0,11.8533,8.144385318194445,0.0,22.0,0.8533000000000008,0.1047715655218007,22.0,0.038786363636363674,MAE,MAE_E3_randomproof.csv
Coptocephala_sp,11.0,11.716,8.19151109902247,0.0,22.0,0.7159999999999993,0.0874075602589909,22.0,0.032545454545454516,MAE,MAE_E3_randomproof.csv
Curculionidae,6.0,13.0423,7.79394542375853,0.0,22.0,7.042299999999999,0.9035603429468126,22.0,0.3201045454545454,MAE,MAE_E3_randomproof.csv
Heliotaurus_ruficollis,3.0,13.6501,7.405845977703316,0.0,22.0,10.6501,1.4380666343945199,22.0,0.48409545454545455,MAE,MAE_E3_randomproof.csv
Laeosopis_roboris,1.0,14.0021,7.175043115854525,0.0,22.0,13.0021,1.8121284834190843,22.0,0.5910045454545455,MAE,MAE_E3_randomproof.csv
Lasioglossum_sp3,7.0,12.7361,7.969994282989612,0.0,22.0,5.7361,0.7197119340778675,22.0,0.2607318181818182,MAE,MAE_E3_randomproof.csv
Lasioglossum_sp5,2.0,14.0154,7.248711418019227,0.0,22.0,12.0154,1.6575911644284096,22.0,0.5461545454545454,MAE,MAE_E3_randomproof.csv
Lomatia_sp,4.0,13.5269,7.550190522608888,0.0,22.0,9.5269,1.2618092181213039,22.0,0.4330409090909091,MAE,MAE_E3_randomproof.csv
Mordellidae_sp2,1.0,14.0913,7.094053627488791,0.0,22.0,13.0913,1.845390616906594,22.0,0.5950590909090909,MAE,MAE_E3_randomproof.csv
Oedemera_sp,5.0,13.3085,7.6381910126806085,0.0,22.0,8.3085,1.087757557542954,22.0,0.37765909090909094,MAE,MAE_E3_randomproof.csv
Paragus_tibialis,1.0,14.1403,7.102961432818825,0.0,22.0,13.1403,1.8499748484182947,22.0,0.5972863636363637,MAE,MAE_E3_randomproof.csv
Phthiria_sp,2.0,13.8073,7.29854051022243,0.0,22.0,11.8073,1.6177617954524666,22.0,0.5366954545454545,MAE,MAE_E3_randomproof.csv
Phthiria_sp1,1.0,14.0401,7.132824104656649,0.0,22.0,13.0401,1.8281819106525843,22.0,0.5927318181818182,MAE,MAE_E3_randomproof.csv
Phthiria_sp2,7.0,12.7212,7.923720659823227,0.0,22.0,5.7212,0.7220345397849546,22.0,0.2600545454545454,MAE,MAE_E3_randomproof.csv
Plebejus_argus,10.0,12.0386,8.113808811485672,0.0,22.0,2.0386000000000006,0.25125068230769965,22.0,0.09266363636363639,MAE,MAE_E3_randomproof.csv
Rhyncomyia_cupraea,1.0,14.0825,7.15374107381132,0.0,22.0,13.0825,1.82876342112701,22.0,0.5946590909090909,MAE,MAE_E3_randomproof.csv
Usia_sp,1.0,13.9777,7.2271312325559185,0.0,22.0,12.9777,1.7956917596209692,22.0,0.5898954545454546,MAE,MAE_E3_randomproof.csv
Xylocopa_cantabrita,7.0,12.7449,7.918111747087447,0.0,22.0,5.7448999999999995,0.7255391415905655,22.0,0.26113181818181813,MAE,MAE_E3_randomproof.csv
Acmaeodera_sp,1.0,14.7449,6.801459400378539,0.0,22.0,13.7449,2.0208751079562455,22.0,0.6247681818181818,RMAE,RMAE_E3_randomproof.csv
Anthrenus_sp,2.0,13.0402,7.479356793054065,0.0,22.0,11.0402,1.4760894961252313,22.0,0.5018272727272728,RMAE,RMAE_E3_randomproof.csv
Attagenus_sp,5.0,12.0718,7.74600831554437,0.0,22.0,7.0718,0.9129605484425576,22.0,0.32144545454545453,RMAE,RMAE_E3_randomproof.csv
Bembix_flavescens,1.0,14.7106,6.823892158469321,0.0,22.0,13.7106,2.0092052572934342,22.0,0.6232090909090909,RMAE,RMAE_E3_randomproof.csv
