Plot_slice,Plot,Random,XY,Regular,Tasa_Random,Tasa_Random_abund_fixed_r,Tasa_Regular,Tasa_Real_abund_fixed_r,Tasa_XY
A1,A,si,si,si,0.0083,0.004,0.0074,0.0095,0.0085
A2,A,si,si,si,0.0144,0.0033,0.013,0.017,0.0159
A3,A,si,si,si,0.0554,0.0047,0.0547,0.0584,0.0677
B1,B,si,si,si,0.0155,0,0.0139,0.0209,0.0161
B2,B,si,si,si,0.0045,0,0.0042,0.018,0.0044
B3,B,si,si,si,0.0054,0.0098,0.0053,0.0029,0.0062
C1,C,si,si,si,0.0224,0.0001,0.0209,0.0414,0.024
C2,C,si,si,si,0.0149,0.0395,0.0131,0.0724,0.015
C3,C,si,si,si,0.0404,0.0466,0.039,0.1981,0.0482
D1,D,si,si,si,0.0401,0.0035,0.0312,0.0071,0.0451
D2,D,si,si,si,0.0071,0.0009,0.0062,0.0233,0.0114
D3,D,si,si,si,0.0413,0.0054,0.0312,0.0846,0.0543
E1,E,si,si,si,0.0236,0.0004,0.0207,0.0324,0.0246
E2,E,si,si,si,0.0022,0.0006,0.0019,0.0001,0.0029
E3,E,"si, repetido","si, repetido","si, repetido",0.1403,0.0778,0.1517,0.0051,0.1515
F1,F,si,si,si,0.0133,0.0004,0.0139,0.0392,0.0128
F2,F,si,si,si,0.0058,0.0019,0.0056,0.0187,0.0069
F3,F,si,si,si,0.0918,0.0146,0.1004,0.0051,0.1116
